"factset_entity_id","equity_aum"
"0C8G8G-E ",41
"0C244V-E ",119
"0C6CBB-E ",51
"07ZS3S-E ",233
"0C240T-E ",0
"05W9NM-E ",108
"05W9HD-E ",1383
"06GSBJ-E ",1
"0056DF-E ",2670
"05PTV9-E ",172
"004WN0-E ",0
"07K4SZ-E ",19
"0FYMYJ-E ",37
"0C7RM3-E ",1669
"0C7S23-E ",163
"0G4ZCJ-E ",25
"0G4PLG-E ",0
"0G50BS-E ",131
"05TK1Z-E ",204
"076GXP-E ",356
"0F0K51-E ",133
"0JRVH3-E ",7387
"05MZH1-E ",76
"004F37-E ",6261
"05FQXW-E ",0
"0049LH-E ",447236
"0CG5SB-E ",523
"0C8K3V-E ",1
"0DB235-E ",0
"0DB5D5-E ",2
"0FY5Z8-E ",9
"075GQR-E ",103
"0DV78X-E ",231
"0C6CD8-E ",3
"0BZM7P-E ",346
"0BQ4FJ-E ",1310
"0C5ZHW-E ",539
"06JRQQ-E ",139
"05K88G-E ",613
"05VT16-E ",854
"05VM8F-E ",87
"073FTQ-E ",2
"07BCW5-E ",72
"074CM1-E ",105
"07L7HN-E ",5
"05K8HP-E ",1624
"0C8FPN-E ",123
"0C9QH4-E ",165
"0KXH8S-E ",1254
"068PR1-E ",3058
"0760PS-E ",2300
"06LL05-E ",772
"06NXCR-E ",241
"06PG2S-E ",146
"074XLK-E ",2
"0D8T12-E ",293
"0DF53F-E ",1781
"0F19H8-E ",91
"0C8G08-E ",116
"05K91R-E ",826
"06LT49-E ",1
"07418G-E ",9
"0GW07Z-E ",13
"07BK7K-E ",3018
"00CXY4-E ",336
"0C7ZHB-E ",9168
"0G0R9Q-E ",47
"0CQ7ZQ-E ",377
"00D0KN-E ",88
"00D01J-E ",400
"00FQ47-E ",59
"0024SV-E ",28343
"0C97ZN-E ",0
"00D1LG-E ",0
"0036S4-E ",5
"0035JF-E ",3
"0C23GJ-E ",203
"0C26HM-E ",127
"0FGM88-E ",42
"000TRW-E ",661
"000WWX-E ",80399
"05N62L-E ",49
"05LZ0L-E ",167
"05LYWX-E ",639
"05T09M-E ",648
"071FFG-E ",1310
"0CKJQC-E ",138
"0D4344-E ",194
"0C9WCM-E ",0
"0CXM1M-E ",0
"0G5TD2-E ",0
"0G59M5-E ",76
"05GGRL-E ",54
"000TWY-E ",4225
"004D24-E ",17
"05W7FV-E ",2544
"0024GN-E ",213
"05QHGG-E ",4
