factset_entity_id,total_aum,entity_sub_type,fds_13f_flag
002JMH-E,NULL,IA,1
002JML-E,NULL,IA,1
002JNF-E,NULL,IA,0
002JNM-E,NULL,IA,1
002JP5-E,198,VC,0
002JP7-E,NULL,IA,1
002JQ0-E,778,PB,1
009099-E,31,PB,0
002JQJ-E,NULL,CP,0
002JQN-E,NULL,CP,0
002JQV-E,NULL,CP,0
002JR0-E,NULL,IA,0
002JRS-E,NULL,IA,1
002JRW-E,NULL,VC,0
002JS5-E,NULL,IA,0
002JV0-E,NULL,IA,1
002JY6-E,NULL,CP,1
002JYK-E,NULL,PB,1
002JZ0-E,NULL,IA,1
002JZ5-E,NULL,HF,0
002JZ7-E,NULL,IA,1
002JZF-E,NULL,CP,0
002JZX-E,244,IA,1
002K07-E,NULL,HF,1
002K0C-E,NULL,HF,1
002K2N-E,NULL,CP,0
002K37-E,NULL,IA,1
002K3D-E,NULL,IA,1
002HJM-E,NULL,PB,0
008B76-E,NULL,BR,0
002K02-E,4008,PB,1
002HJR-E,1788,PB,1
002JLB-E,145063,IA,1
002HKT-E,1311,PB,1
