factset_fund_id,fsym_id,adj_holding,reported_holding,Desktop Fund AUM
04JW1J-E,HKM5XZ-S,12.0,12,163
04HM84-E,HKM5XZ-S,12.0,12,0
04HM84-E,HKM5XZ-S,12.0,12,0
04GD24-E,HKM5XZ-S,12.0,12,
04G2VL-E,HKM5XZ-S,12.0,12,0
04CBQ7-E,HKM5XZ-S,12.0,12,0
04CBQ5-E,HKM5XZ-S,12.0,12,0
04CBQ5-E,HKM5XZ-S,12.0,12,0
04CBQ7-E,HKM5XZ-S,12.0,12,0
04G2VL-E,HKM5XZ-S,12.0,12,0
04DCP1-E,HKM5XZ-S,12.0,12,
04C9Y8-E,HKM5XZ-S,12.0,12,
04G2VL-E,HKM5XZ-S,12.0,12,0
04KWQ1-E,HKM5XZ-S,13.0,13,13
04KNZP-E,HKM5XZ-S,13.0,13,13
04KWQ1-E,HKM5XZ-S,13.0,13,13
04GJRY-E,HKM5XZ-S,13.0,13,28
04KWQ1-E,HKM5XZ-S,13.0,13,13
04KWQ1-E,HKM5XZ-S,13.0,13,13
04L0TK-E,HKM5XZ-S,13.0,13,41
04CQ41-E,HKM5XZ-S,13.0,13,0
04CQ41-E,HKM5XZ-S,13.0,13,0
04KNZP-E,HKM5XZ-S,13.0,13,13
04G4J9-E,HKM5XZ-S,13.0,13,33
04G4J9-E,HKM5XZ-S,13.0,13,33
