factset_entity_id,total_aum,equity_aum,Desktop Institution AUM,Desktop Institution Equity AUM,Difference AUM,Difference Equity AUM
0024XL-E ,301,226,301,226,0,0
00250F-E ,31400,16554,31400,16554,0,0
002HJM-E ,,749,,749,0,0
0025QG-E ,,1896,,1896,0,0
002656-E ,15990,5636,15990,5636,0,0
0026D8-E ,224,133,224,133,0,0
0026PX-E ,,430,,430,0,0
0027L0-E ,,4,,4,0,0
0027V1-E ,,0,,0,0,0
002LG5-E ,,0,,0,0,0
002RD1-E ,,15,,15,0,0
0029XN-E ,3000,3515,3000,3515,0,0
002S10-E ,,2,,2,0,0
002B3Q-E ,,78241,,78241,0,0
002B44-E ,,0,,0,0,0
002B7K-E ,1700,879,1700,879,0,0
002BRP-E ,,37602,,37602,0,0
002SGG-E ,5,1,5,1,0,0
002S5Q-E ,,1,,1,0,0
002BS9-E ,2758,2220,2758,2220,0,0
002BSH-E ,102955,48101,102955,48101,0,0
002D91-E ,30800,24634,30800,24634,0,0
002BY9-E ,25320,56,25320,56,0,0
002C1K-E ,,70,,70,0,0
002C2Z-E ,159307,117624,159307,117624,0,0
