factset_entity_id,total_aum,equity_aum,Desktop Institution AUM,Desktop Institution Equity AUM
001NJZ-E ,65552.0,16460,N/A,N/A
001P6G-E ,1040.0,945,N/A,N/A
001PBJ-E ,29756.0,20383,N/A,N/A
001PFN-E ,18421.0,10704,N/A,N/A
001PJY-E ,1856.0,1455,N/A,N/A
001PKW-E ,16584.0,15730,N/A,N/A
001PRH-E ,16840.0,13435,N/A,N/A
001Q0T-E ,2232.0,1223,N/A,N/A
001Q1T-E ,174.0,93,N/A,N/A
001QN6-E ,36260.0,4358,N/A,N/A
001QWK-E ,,373,N/A,N/A
001R2G-E ,772.0,668,N/A,N/A
001R5D-E ,998.0,908,N/A,N/A
001RLW-E ,3915.0,3449,N/A,N/A
001S4P-E ,,663,N/A,N/A
001S4W-E ,728.0,638,N/A,N/A
00290F-E ,,0,N/A,N/A
001T29-E ,72041.0,3074,N/A,N/A
001T5F-E ,80011.0,22875,N/A,N/A
001T6F-E ,7000.0,6389,N/A,N/A
001TCP-E ,4335.0,3353,N/A,N/A
001TFZ-E ,2632.0,1689,N/A,N/A
001TJR-E ,,362,N/A,N/A
001TK8-E ,67863.0,19717,N/A,N/A
001TLD-E ,3854.0,1129,N/A,N/A
