factset_fund_id,aum,equity_aum,Desktop AUM,Desktop Equity AUM,Difference AUM,Difference Equity AUM
04J7BH-E ,145137457,401103315,145137457,401103315,0,0
04F66Z-E ,184905644,78615272,184905644,78615272,0,0
04JYHN-E ,,47124442,,47124442,0,0
04D16R-E ,42071392,21973271,42071392,21973271,0,0
04C8P5-E ,990417598,3251846842,990417598,3251846842,0,0
04C7Q6-E ,1324703366,2145922066,1324703366,2145922066,0,0
04CSVM-E ,152038295,424118446,152038295,424118446,0,0
04F65D-E ,4606806,1279972,4606806,1279972,0,0
04CX3X-E ,7845669,111415384,7845669,111415384,0,0
04J9WX-E ,,24040061,,24040061,0,0
04JW70-E ,,464248354,,464248354,0,0
04CV7C-E ,,1909009209,,1909009209,0,0
04J6X5-E ,,69482777,,69482777,0,0
04D186-E ,,5371767237,,5371767237,0,0
04BC44-E ,1061317112,3199704262,1061317112,3199704262,0,0
04D3WF-E ,597003,48625613,597003,48625613,0,0
04FWLD-E ,17300545,3826034,17300545,3826034,0,0
04HGP4-E ,12495531,112450099,12495531,112450099,0,0
04F61D-E ,347005305,8042822,347005305,8042822,0,0
04HHD7-E ,36964284,96853157,36964284,96853157,0,0
04J6YV-E ,615475670,529814322,615475670,529814322,0,0
04HD18-E ,87654097,,87654097,,0,0
04H16G-E ,75219541,,75219541,,0,0
04JLQ3-E ,126152406,267272715,126152406,267272715,0,0
04BNZD-E ,483028634,465985580,483028634,465985580,0,0
04F9T9-E ,234602877,,234602877,,0,0
04HM6R-E ,,,,,0,0
04DDK1-E ,,,,,0,0
04B9RF-E ,31296807908,41066362509,31296807908,41066362509,0,0
04FTJK-E ,9340183,,9340183,,0,0
04F1DL-E ,104131301,489445857,104131301,489445857,0,0
04BG7W-E ,9688301,18836680,9688301,18836680,0,0
04JY4W-E ,,78415174,,78415174,0,0
04B9WC-E ,271058748,428517168,271058748,428517168,0,0
04JCV4-E ,,28670898,,28670898,0,0
04FB4X-E ,70581921,142606442,70581921,142606442,0,0
04L7H3-E ,37299403,28302105,37299403,28302105,0,0
04D25N-E ,86649184,218342629,86649184,218342629,0,0
04GW8Y-E ,57564089,13351572,57564089,13351572,0,0
04KY89-E ,281524,198022,281524,198022,0,0
04HW6F-E ,252623659,291287585,252623659,291287585,0,0
04CVFP-E ,357638153,,357638153,,0,0
04CTYR-E ,24954181,,24954181,,0,0
04CP7C-E ,64823916,,64823916,,0,0
04CV4T-E ,128844224,,128844224,,0,0
04D25Q-E ,11568474,,11568474,,0,0
04FGRC-E ,864496691,116853858,864496691,116853858,0,0
04CZH6-E ,,5864668503,,5864668503,0,0
04DFB4-E ,,,,,0,0
04KLR2-E ,1116754,12316204,1116754,12316204,0,0
04JCLH-E ,9674723,10009250,9674723,10009250,0,0
04DPST-E ,,1011209,,1011209,0,0
04KT01-E ,31259191,224194,31259191,224194,0,0
04KXDL-E ,165782475,98953964,165782475,98953964,0,0
04J3M7-E ,141362357,120161856,141362357,120161856,0,0
04B8ZB-E ,140039762,218152284,140039762,218152284,0,0
04BV7P-E ,1784803154,1529502784,1784803154,1529502784,0,0
04CB7D-E ,47272980,146294090,47272980,146294090,0,0
04BV8F-E ,661452220,1711905221,661452220,1711905221,0,0
04DLCY-E ,83144900,861396882,83144900,861396882,0,0
04HYKY-E ,,62311915,,62311915,0,0
04F6VC-E ,4338631,1283368,4338631,1283368,0,0
04B9LT-E ,73682316,275365627,73682316,275365627,0,0
04J3RK-E ,184784396,132901883,184784396,132901883,0,0
04DW3D-E ,78987245,161952969,78987245,161952969,0,0
04H1HQ-E ,,2309136245,,2309136245,0,0
04L2Q0-E ,450169259,457971607,450169259,457971607,0,0
04GQK6-E ,767795384,571836876,767795384,571836876,0,0
04CG0V-E ,331669017,5259375,331669017,5259375,0,0
04J37P-E ,,325610917,,325610917,0,0
04CWJP-E ,,555441479,,555441479,0,0
04K7R0-E ,,254084835,,254084835,0,0
04JKX9-E ,,69541628,,69541628,0,0
04BQWW-E ,244917765,1018600127,244917765,1018600127,0,0
04DHV7-E ,922311,2831218,922311,2831218,0,0
04B8HR-E ,250570498,1115864965,250570498,1115864965,0,0
04J2T2-E ,,47205532,,47205532,0,0
04GVCB-E ,15322040,14240551,15322040,14240551,0,0
04BJM7-E ,176025888,13610493,176025888,13610493,0,0
04CZKL-E ,,1332563092,,1332563092,0,0
04DHZZ-E ,,21810629,,21810629,0,0
04L5KN-E ,4281130,3504420,4281130,3504420,0,0
04DKJJ-E ,,,,,0,0
04LBXB-E ,,2530322,,2530322,0,0
04GZ3P-E ,69011006,73338720,69011006,73338720,0,0
04JDD2-E ,,618061120,,618061120,0,0
04BQSN-E ,1184228026,2870113381,1184228026,2870113381,0,0
04BR30-E ,935660748,1604450871,935660748,1604450871,0,0
04HG13-E ,86308417,76504417,86308417,76504417,0,0
04DXYJ-E ,1369801,,1369801,,0,0
04BHD6-E ,,2023558019,,2023558019,0,0
04KWQD-E ,,11290423,,11290423,0,0
04DZXX-E ,511743728,49428538,511743728,49428538,0,0
04DF7S-E ,,,,,0,0
04KMMF-E ,,103679055,,103679055,0,0
