factset_entity_id,Name,Position,Style,Turnover,EquityAssets,QualityRating,Style Desktop,Turnover Desktop,AUM Desktop,Equity AUM Desktop,Quality Rating Desktop,Targeting_Score Desktop,Position Desktop,STYLE MATCH,TURNOVER MATCH,POSITION MATCH,QR MATCH
007XP6-E,"Grimes & Co., Inc.",1759,Yield,High,1398.800996,50,Yield,High,2376,1166,50,45,1759,TRUE,TRUE,TRUE,TRUE
007ZSX-E,Integre Asset Management LLC,0,GARP,Medium,195.295838,45,GARP,Medium,182,165,45,44,0,TRUE,TRUE,TRUE,TRUE
0080FS-E,SKY Investment Group LLC,1710,Yield,Very Low,277.98185,61,Yield,Very Low,427,277,61,65,1710,TRUE,TRUE,TRUE,TRUE
0080GP-E,Scopus Asset Management LP,0,Hedge Fund,High,4900.890794,39,Hedge Fund,High,7167,2698,39,43,0,TRUE,TRUE,TRUE,TRUE
0080JT-E,Tremblant Capital LP,0,Hedge Fund,Medium,1903.116559,48,Hedge Fund,Medium,1772,1665,48,62,0,TRUE,TRUE,TRUE,TRUE
0080KY-E,Legacy Private Trust Co.,1923,GARP,Low,859.495024,54,GARP,Low,,819,54,49,1923,TRUE,TRUE,TRUE,TRUE
0080MP-E,"Lockwood Advisors, Inc.",39253,GARP,Low,3526.573478,63,GARP,Low,8048,3224,63,75,39253,TRUE,TRUE,TRUE,TRUE
0080MR-E,Magnetar Financial LLC,0,Hedge Fund,Very High,8718.582095,33,Hedge Fund,Very High,18434,3143,33,25,0,TRUE,TRUE,TRUE,TRUE
0080QY-E,GSA Capital Partners LLP,0,Hedge Fund,Very High,1684.206786,15,Hedge Fund,Very High,37005,1017,15,7,0,TRUE,TRUE,TRUE,TRUE
0080TH-E,Alpha Windward LLC,1628,GARP,Medium,185.018079,40,GARP,Medium,174,0,40,30,1628,TRUE,TRUE,TRUE,TRUE
0080Z3-E,Echo Street Capital Management LLC,0,Hedge Fund,Medium,5665.005533,49,Hedge Fund,Medium,6366,5061,49,56,0,TRUE,TRUE,TRUE,TRUE
