factset_entity_id,fs_perm_sec_id,security_name,fsym_id,Match,Upper,Security,Mkt Val,Position,Mkt Value Desktop,Position Desktop
0011M0-E,D707BZ-S,"NBCUNIVERSAL ENTERPRISE, INC. 5.25% PERP",D707BZ-S,True,"NBCUNIVERSAL ENTERPRISE, INC. 5.25% PERP","Nbcuniversal Enterprise, Inc. 5.25% Perp",54912720.0,53210000.0,-,-
0011M0-E,Q4ZSBS-S-US,NETAPP INC  COM,Q4ZSBS-S,True,NETAPP INC  COM,Netapp Inc  Com,7647401.0,122378.0,8485691,122378
0011M0-E,GLZ11J-S-US,NEWS CORP  CL A,GLZ11J-S,True,NEWS CORP  CL A,News Corp  Cl A,183546420.0,13646574.0,169763381,13646574
0011M0-E,VLCR4Q-S-US,NEXTERA ENERGY INC  COM,VLCR4Q-S,True,NEXTERA ENERGY INC  COM,Nextera Energy Inc  Com,1490750.0,7142.0,1380691,7142
0011M0-E,LTT1MV-S-JP,NIDEC CORP  ORD,LTT1MV-S,True,NIDEC CORP  ORD,Nidec Corp  Ord,494496064.0,3600800.0,456260753,3600800
0011M0-E,TY1NFD-S-US,NORFOLK SOUTHERN CORP  COM,TY1NFD-S,True,NORFOLK SOUTHERN CORP  COM,Norfolk Southern Corp  Com,632641.0,3124.0,583844,3124
0011M0-E,P6G3ZG-S-CH,NOVARTIS AG  ORD REG,P6G3ZG-S,True,NOVARTIS AG  ORD REG,Novartis Ag  Ord Reg,1467509151.0,15896270.0,1528812799,15896270
0011M0-E,G6QL68-S-US,NOVARTIS AG  SPONSORED ADR,G6QL68-S,True,NOVARTIS AG  SPONSORED ADR,Novartis Ag  Sponsored Adr,3361875038.0,36344595.0,3494169363,36344595
0011M0-E,V3LF0L-S-US,NUCOR CORP  COM,V3LF0L-S,True,NUCOR CORP  COM,Nucor Corp  Com,3654669.0,66100.0,3856935,66100
0011M0-E,DRJY75-S-CA,NUTRIEN LTD  COM,DRJY75-S,True,NUTRIEN LTD  COM,Nutrien Ltd  Com,432790934.0,8072408.0,425900246,8072408
0011M0-E,MT931R-S-US,OCCIDENTAL PETROLEUM CORP  COM,MT931R-S,True,OCCIDENTAL PETROLEUM CORP  COM,Occidental Petroleum Corp  Com,1493194560.0,30368000.0,2010361600,30368000
0011M0-E,KPL0X0-S-US,PARKER HANNIFIN CORP  COM,KPL0X0-S,True,PARKER HANNIFIN CORP  COM,Parker Hannifin Corp  Com,548994.0,3256.0,558795,3256
0011M0-E,NGRNZY-S-US,PAYPAL HOLDINGS INC  COM,NGRNZY-S,True,PAYPAL HOLDINGS INC  COM,Paypal Holdings Inc  Com,5677589.0,48246.0,5009865,48246
0011M0-E,DCZH6D-S-US,PEPSICO INC  COM,DCZH6D-S,True,PEPSICO INC  COM,Pepsico Inc  Com,742975.0,5545.0,679540,5545
0011M0-E,FZCZH1-S-US,PERSPECTA INC  COM WI,FZCZH1-S,True,PERSPECTA INC  COM WI,Perspecta Inc  Com Wi,448259.0,18986.0,383897,18986
0011M0-E,CB220R-S-US,PETROBRAS  ADR NVTG,CB220R-S,True,PETROBRAS  ADR NVTG,Petrobras  Adr Nvtg,45886498.0,3277607.0,46869780,3277607
0011M0-E,KV5NYW-S-BR,PETROBRAS  ORD PFD,KV5NYW-S,True,PETROBRAS  ORD PFD,Petrobras  Ord Pfd,782435699.0,110856106.0,-,-
0011M0-E,JDQZCY-S-US,PFIZER INC  COM,JDQZCY-S,True,PFIZER INC  COM,Pfizer Inc  Com,17937600.0,404000.0,17157880,404000
0011M0-E,PRHXMV-S-US,PHILIP MORRIS INTERNATIONAL INC  COM,PRHXMV-S,True,PHILIP MORRIS INTERNATIONAL INC  COM,Philip Morris International Inc  Com,1524955.0,18913.0,1671720,18913
0011M0-E,SP70YY-S-US,PHILLIPS 66  COM,SP70YY-S,True,PHILLIPS 66  COM,Phillips 66  Com,504989.0,5205.0,495360,5205
0011M0-E,JT792F-S-US,PNC FINANCIAL SERVICES GROUP  COM,JT792F-S,True,PNC FINANCIAL SERVICES GROUP  COM,Pnc Financial Services Group  Com,2627716.0,18680.0,2291289,18680
0011M0-E,KM6CDW-S-US,PPG INDUSTRIES INC  COM,KM6CDW-S,True,PPG INDUSTRIES INC  COM,Ppg Industries Inc  Com,2024360.0,17000.0,1918790,17000
0011M0-E,RWC9XJ-S-US,PROCTER & GAMBLE CO  COM,RWC9XJ-S,True,PROCTER & GAMBLE CO  COM,Procter & Gamble Co  Com,15038596.0,131825.0,13716391,131825
0011M0-E,C7R3T7-S-US,QUALCOMM INC  COM,C7R3T7-S,True,QUALCOMM INC  COM,Qualcomm Inc  Com,344835.0,4500.0,256635,4500
0011M0-E,DR8CHR-S-US,QURATE RETAIL INC QVC GROUP  CL A,DR8CHR-S,True,QURATE RETAIL INC QVC GROUP  CL A,Qurate Retail Inc Qvc Group  Cl A,712568102.0,56553024.0,903717324,56553024
0011M0-E,G6L6W5-S-US,RAYTHEON CO  COM,G6L6W5-S,False,,,,,-,-
0011M0-E,TH9ZKX-S-US,RIO TINTO PLC  ADR,TH9ZKX-S,True,RIO TINTO PLC  ADR,Rio Tinto Plc  Adr,601445.0,9500.0,559075,9500
0011M0-E,H8PBY5-S-US,ROCHE HOLDING AG  ADR PFD,H8PBY5-S,True,ROCHE HOLDING AG  ADR PFD,Roche Holding Ag  Adr Pfd,1683294304.0,47256999.0,1627294761,47256999
0011M0-E,M50G2S-S-CH,ROCHE HOLDING AG  ORD DRC,M50G2S-S,True,ROCHE HOLDING AG  ORD DRC,Roche Holding Ag  Ord Drc,1810950598.0,6344600.0,-,-
0011M0-E,GYCCNW-S-US,ROYAL DUTCH SHELL PLC  SPONS ADR A,GYCCNW-S,True,ROYAL DUTCH SHELL PLC  SPONS ADR A,Royal Dutch Shell Plc  Spons Adr A,9548644.0,147629.0,9240099,147629
0011M0-E,NXC32S-S-US,S&P GLOBAL INC  COM,NXC32S-S,True,S&P GLOBAL INC  COM,S&P Global Inc  Com,1976562.0,8300.0,1747565,8300
0011M0-E,RMD8RP-S-IT,SAIPEM SPA  ORD,RMD8RP-S,True,SAIPEM SPA  ORD,Saipem Spa  Ord,280985458.0,57521348.0,220584590.95084,57521348
0011M0-E,SPC2KM-S-KR,SAMSUNG ELECTRONICS  ORD PFD NVTG,SPC2KM-S,True,SAMSUNG ELECTRONICS  ORD PFD NVTG,Samsung Electronics  Ord Pfd Nvtg,1095661441.0,33949565.0,-,-
0011M0-E,XQ818C-S-KR,SAMSUNG ELECTRONICS CO LTD  ORD,XQ818C-S,True,SAMSUNG ELECTRONICS CO LTD  ORD,Samsung Electronics Co Ltd  Ord,732909958.0,18907950.0,743758206,18907950
0011M0-E,DKHG8V-S-FR,SANOFI (SANOFI AVENTIS)  ORD,DKHG8V-S,True,SANOFI (SANOFI AVENTIS)  ORD,Sanofi (Sanofi Aventis)  Ord,1745063817.0,19770409.0,1747965323,19770409
0011M0-E,RWGFWG-S-US,SANOFI AVENTIS  SPONSORED ADR,RWGFWG-S,True,SANOFI AVENTIS  SPONSORED ADR,Sanofi Aventis  Sponsored Adr,2665983716.0,60590539.0,2682949067,60590539
0011M0-E,SZF3KC-S-US,SCHLUMBERGER NV  COM,SZF3KC-S,True,SCHLUMBERGER NV  COM,Schlumberger Nv  Com,2138640422.0,54156506.0,2359598966,54156506
0011M0-E,LRJH1M-S-FR,SCHNEIDER ELECTRIC SE  ORD,LRJH1M-S,True,SCHNEIDER ELECTRIC SE  ORD,Schneider Electric Se  Ord,1186027088.0,13030524.0,1023314805,13030524
0011M0-E,PTRJ81-S-GB,SHIRE PLC  ORD,PTRJ81-S,False,,,,,-,-
0011M0-E,RFQ5XF-S-GB,SMITHS GROUP PLC  ORD,RFQ5XF-S,True,SMITHS GROUP PLC  ORD,Smiths Group Plc  Ord,398176557.0,19558400.0,355304678,19001500
0011M0-E,C5BYBM-S-FR,SOCIETE GENERALE SA  ORD A,C5BYBM-S,True,SOCIETE GENERALE SA  ORD A,Societe Generale Sa  Ord A,956109573.0,37945027.0,1098184481,37945027
0011M0-E,BB0C2F-S-US,SPRINT CORP  COM,BB0C2F-S,True,SPRINT CORP  COM,Sprint Corp  Com,725035969.0,103873348.0,586884416,103873348
