factset_fund_id,fs_perm_sec_id,fsym_id,security_name,FS_Market_Value,FS_Position,Upper_Case Name,Lower_case_name,Mkt Val,Pos
04CC29-E,L7L6BR-S-CA,L7L6BR-S,CONSTELLATION SOFTWARE INC  COM,219927102,227420,CHINA AGRI INDUSTRIES HOLDINGS  ORD,China Agri Industries Holdings  Ord,9119956,29133515
04CC29-E,SFK1ZH-S-JP,SFK1ZH-S,WEST JAPAN RAILWAY CO  ORD,219634003,2666702,WIPRO LTD  ORD,Wipro Ltd  Ord,110411762,29126243
04CC29-E,VT67J6-S-US,VT67J6-S,IDEXX LABORATORIES INC  COM,218816313,770263,CHINA BLUECHEMICAL LTD  ORD H,China Bluechemical Ltd  Ord H,8436601,29087715
04CC29-E,Q6828N-S-JP,Q6828N-S,EISAI CO LTD  ORD,218741385,3889116,PACIFIC BASIN SHIPPING LTD  ORD,Pacific Basin Shipping Ltd  Ord,6123674,29046929
04CC29-E,LLWHFH-S-KR,LLWHFH-S,LG CHEMICAL LTD  ORD,218428869,742312,JWD INFOLOGISTICS PUBLIC CO LTD  ORD,Jwd Infologistics Public Co Ltd  Ord,9294363,28976971
04CC29-E,K150LY-S-AU,K150LY-S,NEWCREST MINING LTD  ORD,218420901,9713739,LONGFOR GROUP HOLDINGS LTD  ORD,Longfor Group Holdings Ltd  Ord,114374629,28969537
04CC29-E,PJVSC8-S-IN,PJVSC8-S,AXIS BANK LTD  ORD,217904334,19925032,YUZHOU PROPERTIES CO LTD  ORD,Yuzhou Properties Co Ltd  Ord,14320757,28961831
04CC29-E,K7T7YH-S-US,K7T7YH-S,CERNER CORP  COM,217289273,2865479,SHINKONG SYNTHETIC FIBERS CORP  ORD,Shinkong Synthetic Fibers Corp  Ord,12483274,28919898
04CC29-E,HY8T7Z-S-US,HY8T7Z-S,IHS MARKIT LTD  COM,216622348,3303177,FAR EASTERN DEPARTMENT STORES  ORD,Far Eastern Department Stores  Ord,20914056,28791377
04CC29-E,D2WB1L-S-DE,D2WB1L-S,PORSCHE AUTOMOBIL HOLDING SE  PFD,216519304,3172550,RS PUBLIC CO LTD  ORD,Rs Public Co Ltd  Ord,"14,901,801",28746312
04CC29-E,KDDG4Y-S-US,KDDG4Y-S,TOTAL SYSTEMS SERVICES INC  COM,216222116,1619884,RED SENA BHD  ORD,Red Sena Bhd  Ord,3533205,28722906
04CC29-E,HF7PHT-S-KR,HF7PHT-S,HYUNDAI MOBIS CO LTD  ORD,215442009,1078811,SIME DARBY PROPERTY BHD  ORD,Sime Darby Property Bhd  Ord,6873886,28527083
04CC29-E,VWLCXS-S-JP,VWLCXS-S,SUBARU (FUJI HEAVY) CORP  ORD,215211425,8442309,TECO ELECTRIC & MACHINERY  ORD,Teco Electric & Machinery  Ord,21114299,28498176
04CC29-E,QQ00XL-S-US,QQ00XL-S,PTC INC  COM,214922011,2376930,SRI TRANG AGRO INDUSTRY PCL  ORD,Sri Trang Agro Industry Pcl  Ord,11707260,28452282
04CC29-E,D3X1KC-S-US,D3X1KC-S,PIONEER NATURAL RESOURCES CO  COM,214442934,1524223,ISRAEL DISCOUNT BANK LTD  ORD A,Israel Discount Bank Ltd  Ord A,119566164,28377529
04CC29-E,MWM9SJ-S-CH,MWM9SJ-S,VIFOR PHARMA (GALENICA) AG  ORD REG,214171215,1451589,SHANGHAI ELECTRIC GROUP  ORD H,Shanghai Electric Group  Ord H,9835834,28302116
04CC29-E,KNF6LD-S-US,KNF6LD-S,DISCOVER FINANCIAL SERVICES  COM,214073724,2641907,FAR EASTONE TELECOM  ORD,Far Eastone Telecom  Ord,69269858,28294430
04CC29-E,T8JWWR-S-PL,T8JWWR-S,POWSZECHNA KASA OS BANK  ORD A BRR,214028237,19469325,MAXS GROUP INC  ORD,Maxs Group Inc  Ord,7761908,28286837
04CC29-E,N82CZR-S-JP,N82CZR-S,SUZUKI MOTOR CORP  ORD,213900015,5074896,ORIGIN PROPERTY PCL  ORD,Origin Property Pcl  Ord,8543921,28204276
04CC29-E,H46J90-S-US,H46J90-S,VERISK ANALYTICS INC  CL A,213152741,1400018,RITEK CORP  ORD,Ritek Corp  Ord,7754372,28187468
04CC29-E,T8HTVR-S-US,T8HTVR-S,ZIMMER BIOMET HOLDINGS INC  COM,212708064,1744939,YES BANK LTD  ORD,Yes Bank Ltd  Ord,38303319,28171662
04CC29-E,JFV4K0-S-US,JFV4K0-S,SYNOPSYS (SYNOPSIS) INC  COM,211353547,1537564,SM PRIME HOLDINGS INC  ORD,Sm Prime Holdings Inc  Ord,21795446,28151853
04CC29-E,FJ1F7G-S-US,FJ1F7G-S,KLA TENCOR CORP  COM,211039923,1708272,GRAINGER (TRUST) PLC  ORD,Grainger (Trust) Plc  Ord,85659069,28148066
04CC29-E,CZCX8V-S-HK,CZCX8V-S,CHINA MENGNIU DAIRY CO LTD  ORD,210961025,52002984,HUADIAN FUXIN ENERGY CORP LTD  ORD H,Huadian Fuxin Energy Corp Ltd  Ord H,"5,300,556","28,030,441"
04CC29-E,LSPQ4M-S-TW,LSPQ4M-S,LARGAN PRECISION CO LTD  ORD,209486730,1546540,PIONEERS HOLDING CO  ORD,Pioneers Holding Co  Ord,9975667,27989303
04CC29-E,BL5XJ7-S-FR,BL5XJ7-S,EIFFAGE SA  ORD,209472618,2057516,GENTING HONG KONG (STAR CRUISE)  ORD,Genting Hong Kong (Star Cruise)  Ord,3641108,27937603
04CC29-E,PJVXMD-S-IN,PJVXMD-S,UPL (UNITED PHOSPHORUS) LTD  ORD,209312474,22174247,ANGLO AMERICAN PLC  ORD,Anglo American Plc  Ord,762152966,27882302
04CC29-E,R076R5-S-FR,R076R5-S,PUBLICIS GROUPE SA  ORD,209052151,3845580,RHB BANK BHD  ORD,Rhb Bank Bhd  Ord,39071237,27868811
04CC29-E,CQJ9P7-S-CH,CQJ9P7-S,ADECCO GROUP AG  ORD REG,208872661,3875241,DAIWA SECURITIES GROUP INC  ORD,Daiwa Securities Group Inc  Ord,122532966,27836065
04CC29-E,MNVYM5-S-HK,MNVYM5-S,CHINA PACIFIC INSURANCE GROUP  ORD H,207609947,51338660,GDS GLOBAL LTD  ORD,Gds Global Ltd  Ord,4924743,27835986
04CC29-E,LHLM3W-S-US,LHLM3W-S,FORD MOTOR CO  COM,206761945,19842797,PT BANK DANAMON INDONESIA TBK  ORD B,Pt Bank Danamon Indonesia Tbk  Ord B,9171392,27692236
04CC29-E,SPJBLK-S-DE,SPJBLK-S,MTU AERO ENGINES HOLDING AG  ORD,206752642,842903,CROMWELL PROPERTY GROUP  ORD,Cromwell Property Group  Ord,22646796,27537781
04CC29-E,B17XBN-S-HK,B17XBN-S,SANDS CHINA LTD  ORD REG S,206494260,39953923,SUNAC CHINA HOLDINGS LTD  ORD REG,Sunac China Holdings Ltd  Ord Reg,135268013,27533960
04CC29-E,QBWP5F-S-US,QBWP5F-S,TRANSDIGM GROUP INC  COM,205990774,413329,UNITED RENEWABLE ENERGY CO  ORD,United Renewable Energy Co  Ord,7731163,27429090
04CC29-E,Q4ZSBS-S-US,Q4ZSBS-S,NETAPP INC  COM,205851007,3384594,MERCK & CO INC  COM,Merck & Co Inc  Com,"2,220,105,198",27422248
04CC29-E,QCW7G3-S-US,QCW7G3-S,CBS CORP  CL B,205365305,3847954,QANTAS AIRWAYS LTD  ORD,Qantas Airways Ltd  Ord,"109,057,767",27364047
