FactSetEntityId,Style,TurnoverLabel,TotalAUM
001PJY-E,Value,Very Low,1856
001PKQ-E,,,NULL
001PKW-E,Growth,Very Low,16584
001PRH-E,Growth,Very Low,16840
001PSS-E,,,NULL
001Q0T-E,Deep Value,Medium,2232
001Q1T-E,Yield,Medium,174
001Q4T-E,,,NULL
001Q5Q-E,,,NULL
001Q69-E,,,NULL
001Q6P-E,,,NULL
001Q7H-E,,,NULL
001Q8G-E,,,5024
001Q94-E,,,NULL
001QCJ-E,,,NULL
001QN6-E,Yield,Low,36260
001QPY-E,,,NULL
001QS9-E,,,NULL
001QV0-E,,,NULL
001QW9-E,,,NULL
001QWK-E,,,NULL
001R13-E,,,NULL
001R2G-E,Aggressive Growth,Low,772
001R53-E,,,NULL
001R5D-E,Growth,Low,998
001RF0-E,,,NULL
001RH3-E,GARP,,76
001RK8-E,,,NULL
001RKJ-E,,,NULL
001RLW-E,Growth,Very Low,3915
001RPR-E,,,NULL
001RR3-E,,,NULL
001RRZ-E,,,NULL
001S4P-E,Deep Value,Very Low,NULL
001S4W-E,Value,Very Low,623
001S5B-E,,,NULL
001SBP-E,,,NULL
001SHD-E,Aggressive Growth,,NULL
001SPB-E,,,NULL
001SVX-E,,,NULL
001T00-E,,,NULL
001T29-E,Yield,Low,72041
001T47-E,,,NULL
001T4W-E,,,NULL
001T5F-E,Growth,Very Low,80011
001T6F-E,Growth,Medium,7000
001T9P-E,,,NULL
001TCP-E,Growth,Very Low,4335
001TFZ-E,Value,Very High,2632
001TJR-E,Growth,Very Low,NULL
001TK8-E,Growth,Low,67863
001TKL-E,,,NULL
001TLD-E,Value,High,3854
001TLG-E,,,NULL
001TNS-E,,Low,3167
001TPC-E,,,NULL
001TRV-E,Growth,Low,550
001TY6-E,,,NULL
001TYJ-E,,,NULL
001V32-E,Aggressive Growth,,NULL
001V8S-E,,,NULL
001VKN-E,,,NULL
001VL8-E,,,NULL
001VMJ-E,,,NULL
001VPR-E,,,NULL
001VR9-E,Growth,High,42972
001W3Q-E,Value,Very Low,NULL
001W41-E,,,NULL
001WF8-E,,,175
001WLL-E,GARP,,NULL
001WML-E,,,NULL
001WQ7-E,Growth,Low,350
001WYK-E,,,48330
001X1F-E,,,NULL
001X1H-E,Value,Very Low,2856
001X30-E,,,NULL
001X83-E,,,NULL
001X87-E,,,NULL
001X8Q-E,,,NULL
001X8R-E,,,NULL
001XC9-E,Deep Value,Very Low,NULL
001XCF-E,,,NULL
001XDJ-E,,,NULL
001XF9-E,Growth,Low,2951
001XGV-E,Value,Low,804
001XJ8-E,Yield,Medium,NULL
001XKH-E,Growth,Very Low,3547
001XLZ-E,,,NULL
001XN0-E,Growth,Very Low,331
001XP1-E,Aggressive Growth,Very Low,50384
001XPP-E,Growth,Very Low,NULL
001XQ7-E,Growth,Medium,4248
001XR1-E,,,18921
001XT4-E,Growth,Very Low,179309
001XW9-E,Value,Very Low,3792
001XX6-E,,,NULL
001XY8-E,,,NULL
001Y0B-E,,,NULL
001Y1P-E,Growth,Low,1981
001Y4F-E,,,NULL
001Y4H-E,Value,Low,2004
001Y5T-E,,,NULL
001Y5Y-E,,,112
001Y77-E,,,NULL
001Y7K-E,,,NULL
001Y7Z-E,Value,Very Low,4239
001Y81-E,Value,Very Low,197
001Y83-E,Growth,Low,NULL
001Y8B-E,Value,Low,22105
001Y8F-E,,,NULL
001Y9W-E,Value,Very Low,750
001YB3-E,,,NULL
001YCG-E,Growth,Very Low,2749
001YD6-E,Growth,Medium,43048
001YF6-E,Value,Very Low,4662
001YJX-E,,,NULL
001YN3-E,Yield,Low,4134
001YNK-E,Growth,Very High,NULL
001YP2-E,,,NULL
001YPD-E,Growth,Low,NULL
001YPY-E,,,NULL
001YQQ-E,,,NULL
001YQZ-E,Yield,Very Low,321
001YSC-E,,,NULL
001YT0-E,Growth,Very Low,NULL
001YV7-E,,,NULL
001YWB-E,Growth,Low,NULL
001YX3-E,Growth,Very Low,41520
001YX7-E,,,NULL
001Z0M-E,,,NULL
001Z1L-E,GARP,Very Low,567
001Z1N-E,,,NULL
001Z2B-E,,,NULL
001Z2Y-E,,,41047
001Z3R-E,,,NULL
001Z5Y-E,,,NULL
001Z6B-E,Growth,Medium,441
