factset_entity_id,name,ManagerStyle,InstitutionFixedStyle
06J15G-E,"Ariba Asset Management, Inc.",NULL,
06J3J2-E,"Deutsche Securities, Inc.",NULL,
06J5TM-E,Everett Capital Management LLC,NULL,
081FNS-E,Isis Asset Management SA (Old),NULL,
081GRK-E,Crosswind Investments LLC,NULL,
081L83-E,John Locke Investments SA,NULL,
081PN2-E,"LWI Financial, Inc.",NULL,
081R0Y-E,ICBC International Securities Ltd.,NULL,
081S64-E,Episteme Capital Partners (UK) LLP,NULL,
081STK-E,Promotora de Proyectos SA,NULL,
081X7B-E,Blacktree Investment Partners LLP,NULL,
00CXY4-E,"RWWM, Inc.",NULL,GARP
00D11S-E,Willett Advisors LLC,NULL,GARP
06GVXV-E,Al Mal Securities LLC (UAE),NULL,
06H05M-E,XR Ventures LLC,NULL,
06H5JY-E,Benford Capital Partners LLC,NULL,
06H755-E,Fuh-Hwa Securities Finance Co. Ltd.,NULL,
06H7D8-E,Altimo LLC,NULL,
06H8NC-E,"Republic Partners, Inc. (Private Equity)",NULL,
06HFQ7-E,HS Management LLC,NULL,
06HJCT-E,Allegiance Capital Customized Investments,NULL,
06HQWP-E,Abrias Investment Management AG (Old),NULL,
06HV56-E,Sofimac Regions SAS,NULL,
06J038-E,Deutsche Bank Ltd. (Broker),NULL,
06J2G2-E,"GNI Capital, Inc.",NULL,
06J2X7-E,Alpina Capital Partners LLP,NULL,
081G7K-E,"RedCloud Capital, Inc.",NULL,
081GF3-E,Generali Thalia Investments France SAS,NULL,
081GKB-E,Berganodden Invest AS,NULL,
081NC8-E,Vescore Indices GmbH,NULL,
081NDF-E,Winans International,NULL,
0821T6-E,"Kailai Investments Co., Ltd.",NULL,
082604-E,Thailand Ministry of Finance (Investment Management),NULL,GARP
082HD0-E,IK Investment Partners Ltd.,NULL,
082KT1-E,Mikro Kapital SARL,NULL,
082LZ8-E,Pragati Insurance Ltd. (Broker),NULL,
082V8N-E,Bretagne Jeunes Entreprises SA,NULL,
09VNZ2-E,Associated Portfolio Solutions (Pty) Ltd.,NULL,
09W187-E,Guohua Life Insurance Co. Ltd.,NULL,GARP
09W92G-E,Kelvin Capital Ltd.,NULL,
0CBPJ8-E,Penny Black Holdings LLC,NULL,
0CBQDC-E,Attestor Capital LLP,NULL,
0CBVHK-E,Aquila Associates LLC,NULL,
0CBXM6-E,Comsec Innovation,NULL,
0CCB17-E,Huber Research Partners LLC,NULL,
0CCD68-E,Freedom Wealth Advisors LLC,NULL,
0CD2KS-E,EM Quest Ltd.,NULL,
0CD6Y6-E,Dividend House Oy,NULL,GARP
0DKR5W-E,H.I.G. European Capital Partners Italy SRL,NULL,
0DKSQS-E,UC Ventures,NULL,
0DKYYS-E,Michaelson Capital (Private Equity),NULL,
0DL4FJ-E,Lanzame Capital SL,NULL,
0DL8D7-E,Altor Equity Partners AS,NULL,
0DLBF5-E,Veteri Place Corp.,NULL,Growth
