FactSet Entity ID,Institution_name,Discrepancy_Column
05HBYN-E,Monega Kapitalanlagegesellschaft mbH,
0C98WS-E,Rehmann Capital Advisory Group LLC,
003C27-E,Wilmington Funds Management Corp.,
05HLZQ-E,Old Mutual Investment Group (Pty) Ltd.,
05ZHM9-E,"Harvest Fund Management Co., Ltd.",
0KYTKZ-E,Bremer Bank NA (St. Paul Minnesota Investment Management),
08CJHD-E,BlackRock Asset Management North Asia Ltd.,
05FW87-E,Candriam France SAS,
00BQDB-E,Parkside Financial Bank & Trust,
000HPH-E,BNY Mellon Investment Adviser Inc.,
0C23X0-E,Parallel Advisors LLC,
06TQ71-E,"Shine Investment Advisory Services, Inc.",
06YBC9-E,O'Shaughnessy Asset Management LLC,
0070ZJ-E,Cutler Group LP,
09YLKZ-E,QS Investors LLC,
05FWLP-E,Invesco Asset Management (Japan) Ltd.,
0KMS82-E,Mizuho Securities Co. Ltd. (Investment Management),
00FC64-E,Tiverton Asset Management LLC,
0DX2M2-E,Triad Hybrid Solutions LLC,
05FWKW-E,Santander Asset Management UK Ltd.,
00128H-E,Fiduciary Trust Co. International,
00BR1T-E,SignatureFD LLC,
0HDJJC-E,Qsemble Capital Management LP,
075HYC-E,RAM Active Investments SA,
0GWXJQ-E,Icon Wealth Partners LLC,
05FQ8L-E,Reynolds Capital Management LLC,
0CXT25-E,Lindbrook Capital LLC,
05R5ZW-E,"Samsung Asset Management Co., Ltd.",
0CWT1X-E,Cordasco Financial Network LLC,
09SJS1-E,ABN AMRO Investment Solutions SA,
00CX44-E,DBX Advisors LLC,
006N56-E,"ProEquities, Inc.",
0D8VH6-E,Berner Kantonalbank AG (Investment Management),
0CN24P-E,City National Rochdale LLC,
0C96P3-E,Quadrant Capital Group LLC,
05FW6P-E,HSBC Global Asset Management (France) SA,
0HHQBY-E,Cresset Asset Management LLC,
0CW2C5-E,Flagship Harbor Advisors LLC,
0C86F2-E,Berman Capital Advisors LLC,
0GVBY1-E,Flinton Capital Management LLC,
0699FZ-E,"AssetMark, Inc.",
002J6J-E,"Deutsche Bank Securities, Inc.",
000BQ0-E,"Fred Alger Management, Inc.",
05GDR0-E,Siemens Fonds Invest GmbH,
086TRK-E,PNC Capital Advisors LLC,
08BL73-E,PineBridge Investments Asia Ltd.,
0GVFFW-E,Tyers Asset Management LLC,
0C79B0-E,Executive Wealth Management LLC,
0FTHM1-E,Proficio Capital Partners LLC,
0HJ02W-E,Wahed Invest LLC,
05MFWB-E,Huntington National Bank (Investment Management),
0GVFHV-E,Neuburgh Advisers LLC,
00DFPF-E,MetLife Investment Management LLC,
