Factset Entity ID,Fund Name,Discrepancy Column
04L6K2-E,Virtus Real Asset Income Etf,
04HWBF-E,Nomura Multi Managers Fund V - Global Infra. Equity Premium,
04HNP6-E,Priviledge - Wellington Large Cap Us Research,
04GK58-E,Fidelity Inst. Exempt America,
04HGB3-E,John Hancock Invt. Tr. - Seaport Long/short Fund,
04HQHN-E,State Street Equity 500 Index Ii Portfolio,
04BHNZ-E,Delaware Investments Dividend & Income Fund,
04BHSY-E,Mutual Of America Invt. Corp. - Equity Index Fund,
04KV61-E,Agfiq Enhanced Global Infrastructure Etf,
04GDVN-E,Brookfield Global Listed Infrastructure Fund,
04KV67-E,M&g Investment Funds (10) - Global Listed Infrastructure Fund,
04JPKD-E,Blackrock Strategic Fds. - Style Advantage Fund,
04GBFG-E,Hsbc Etfs Plc - S&p 500,
04D04Z-E,Allianz Vip Trust - Azl S&p 500 Index Fund,
04BDW6-E,Simt Large Cap Value Fund,
04L07K-E,Fidelity Zero Total Market Index Fund,
04G8D3-E,Eaton Vance Focused Value Opportunities Fund,
04J7CX-E,Fidelity Funds Sicav - First All Country World,
04F833-E,Csif (ch) Umbrella - Equity Us Blue,
04BJ0S-E,Franklin Universal Trust,
04F836-E,Csif World (ex-ch) Index - Pension Fund,
04LBC7-E,Ishares Esg Msci Usa Leaders Etf,
04CXBM-E,Fidelity Funds Sicav - Global Opportunities Fund,
04BS1S-E,Pictet - Usa Index,
04D8YB-E,Ubs (ch) Inst. Fund 2 - Equities Usa Passive,
04BP66-E,Icon Utilities Fund,
04JJBQ-E,Ssga (lux) Sicav - World Index Equity Fund,
04L1LD-E,Invesco Markets Plc - Goldman Sach.eq.fac.idx.em.mkt.ucits Etf,
04B97M-E,Bny Mellon Institutional S&p 500 Stock Index Fund,
04CV6Q-E,Spdr Portfolio Large Cap Etf,
04CC0D-E,Blackrock Isf - Ishares North America Index Fund (ie),
04CHTQ-E,Norinchukin Zenkyoren Asset Ja Overseas Equity Mother Fund,
04FGQ5-E,Dnb Global Indeks,
04GQN9-E,Openworld Plc - Global Listed Infrastructure Fund,
04BFN5-E,Cref Global Equities Account,
04KLVJ-E,Brookfield Real Assets Income Fund Inc.,
04GQ6D-E,Aa Mmf - Fom North American Equities,
04KC99-E,Amundi Index Solutions - Msci North America,
04HFWX-E,Vanguard Common Contractual Fund - Us Equity Index,
04D2R9-E,Nomura Asset Nomura Overseas Equity Mother Fund,
04GG9W-E,Lord Abbett Calibrated Large Cap Value Fund,
04BFBL-E,Bny Mellon Stock Index Fund Inc.,
04CJF3-E,Schwab Dividend Equity Fund,
04L6MB-E,Cohen & Steers Real Assets Multi-strategy Fund,
04CSNH-E,Nlb Funds - Global Balanced,
04F834-E,Csif Us Index - Pension Fund,
04GGNK-E,Thrivent Moderately Conservative Allocation Portfolio,
04D38X-E,Vanguard Mega Cap Index Fund,
04BJ6R-E,Bny Mellon S&p 500 Index Fund,
04CYQ1-E,Pictet - Clean Energy Fund,
04JVMY-E,Lazard Global Active Funds Plc - Global Managed Volatility Fd.,
04DLW6-E,Quilter Investors Series I - Global Dynamic Equity Fund,
04FCXQ-E,Lincoln Vip - Delaware Wealth Builder Fund,
04FVP7-E,Vanguard S&p 500 Value Index Fund,
04BHNF-E,Vanguard Variable Insurance - Equity Income Portfolio,
04JDCY-E,Pacer Fds. Tr. - Trendpilot Us Large Cap Etf,
04C7QW-E,Voya Jpmorgan Mid Cap Value Portfolio,
04CH7N-E,Kbc Equity Fund - High Dividend,
04HZSP-E,Pictet - Multi Asset Global Opportunities,
04KJ8Y-E,Transamerica Large Value Opportunities,
04CPVR-E,Klp Aksjeusa Indeks (usd),
04L7B8-E,Xtrackers Msci Usa Esg Leaders Equity Etf,
04BV6T-E,Spp Aktiefond Global,
04F77W-E,Asast Institutional Fund - Aktien Ausland,
04BVLF-E,Lincoln Vip - Jpmorgan Select Mid Cap Val. Managed Vol. Fund,
04G6ZR-E,Phillips Hager & North Us Multi Style All Cap Equity Fund,
04BK4B-E,Valic Company Ii - Mid Cap Value Fund,
04BCB7-E,Mainstay Vp - Mackay S&p 500 Index Portfolio,
04BFGN-E,Sunamerica Series Trust - Sa Large Cap Index Portfolio,
04CNCP-E,Mitsubishi Ufj Kokusai Foreign Equity Index Mother Fund,
04K95B-E,Massmutual Select Equity Asset Fund,
04BCNY-E,Pgim Income Builder Fund,
04HY33-E,Mgi Funds Plc - Mercer Passive Global Equity Fund,
04GGSD-E,Sei Institutional Invt. Trust - Dynamic Asset Allocation Fund,
04BQNN-E,Sbl Series B (large Cap Value),
04GDTB-E,Centre American Select Equity Fund,
04HJZZ-E,Morgan Stanley Variable - Global Infrastructure Portfolio,
04C7QT-E,Vy American Century Small Mid Cap Value Portfolio,
04JF3R-E,Ssga Spdr Etfs Europe Ii Plc - Morningstar Multi-asset Global,
04BF4J-E,Vanguard Tax Managed Balanced Fund,
04CJ0Y-E,Cleome Index - Usa,
04C39T-E,Rbc Private Us Large Cap Core Equity Pool,
