Factset Fund ID,Fund Name,Discrepancy Column
04CMY0-E,Ishares Tr. - Morningstar Large Cap Etf,
04BHR1-E,Northwestern Mutual-index 500 Stock Portfolio,
04GL8S-E,Columbia Multi Manager Value Strategies Fund,
04L4SH-E,Nordea 2 - Global Sustainable Enhanced Equity Fund,
04CSZS-E,Nomura Asset Foreign Equity Msci Kokusai Mother Fund,
04BPZK-E,Spdr Portfolio S&p 500 Value Etf,
04BZN0-E,Bmo Private Us Equity Portfolio,
04BQ4T-E,Massmutual S&p 500 Index Fund,
04L3JQ-E,M&g (lux) Investment Funds 1 - Pan European Select Fund,
04BH2S-E,Columbia Large Cap Index Fund,
04LBMT-E,Invesco S&p 500 Revenue Etf,
04C58Z-E,Bnp Paribas L1 - Equity Usa Core,
04CSTR-E,Ishares Plc - Msci World Ucits Etf,
04F9RJ-E,Simt Large Cap Fund,
04FVP1-E,Vanguard Russell 1000 Index Fund,
04BHSN-E,Pacific Select Fund - Equity Index Portfolio,
04GHSQ-E,Actiam Responsible Index Fund Equity Na (fbi),
04HL31-E,Actiam Responsible Index Fund Equity Na - B (fgr),
04BVYX-E,Calamos Market Neutral Income Fund,
04JJ2X-E,Goldman Sachs Etf Tr. - Activebeta Us Large Cap Equity Etf,
04BPZR-E,Spdr Portfolio Total Stock Market Etf,
04CQ9H-E,Dpam Capital B - Equities Us Behavioral Value,
04CZP2-E,Dfa Us Vector Equity Portfolio,
04BQJW-E,Raiffeisen - Us - Aktienfonds,
04CXKL-E,Univers Cnp 1,
04BLCL-E,Ftif Sicav - Select Us Equity Fund,
04BHSY-E,Mutual Of America Invt. Corp. - Equity Index Fund,
04BDLW-E,Blackrock Tactical Opportunities Fund,
04HYDC-E,Xtrackers (ie) Plc - Msci World Ucits Etf,
04GBFG-E,Hsbc Etfs Plc - S&p 500,
04HQHN-E,State Street Equity 500 Index Ii Portfolio,
04JJBQ-E,Ssga (lux) Sicav - World Index Equity Fund,
04D04Z-E,Allianz Vip Trust - Azl S&p 500 Index Fund,
04L07K-E,Fidelity Zero Total Market Index Fund,
04CDZP-E,Trimark Global Balanced Class,
04D8YB-E,Ubs (ch) Inst. Fund 2 - Equities Usa Passive,
04BS1S-E,Pictet - Usa Index,
04F833-E,Csif (ch) Umbrella - Equity Us Blue,
04D0KN-E,First Trust Large Cap Core Alphadex Fund,
04F836-E,Csif World (ex-ch) Index - Pension Fund,
04KC99-E,Amundi Index Solutions - Msci North America,
04CC0D-E,Blackrock Isf - Ishares North America Index Fund (ie),
04BJPT-E,Eq/large Cap Growth Index Portfolio,
04H447-E,Eaton Vance Growth Fund,
04BV6S-E,Spp Aktiefond Usa,
04C6TJ-E,Lord Abbett Res. Fund Inc. - Calibrated Dividend Growth Fund,
04CN31-E,Axa Rosenberg Eq. Alpha Trust - Us Enhanced Ind. Eq. Alpha Fd.,
04B97M-E,Bny Mellon Institutional S&p 500 Stock Index Fund,
04BQ3G-E,State Farm Equity Fund,
04D56Q-E,Riv Rationalinvest Vermoegensverwalterfonds,
04LD1Z-E,Handelsbanken Global Index Criteria,
04F834-E,Csif Us Index - Pension Fund,
04HFWX-E,Vanguard Common Contractual Fund - Us Equity Index,
04BFBL-E,Bny Mellon Stock Index Fund Inc.,
04CV6Q-E,Spdr Portfolio Large Cap Etf,
04C1WW-E,Rbc Private Us Large Cap Value Equity Pool,
04BJ6R-E,Bny Mellon S&p 500 Index Fund,
04HVMF-E,Aviva Grandes Marques,
04J7SK-E,Manning & Napier Pro Mix Maximum Term Cit,
04G6ZR-E,Phillips Hager & North Us Multi Style All Cap Equity Fund,
04D38X-E,Vanguard Mega Cap Index Fund,
