Factset Fund ID,Fund Name,Discrepancy Column
04JJKS-E,Cif - Capital Group New Perspective Fund (lux),
04CZKH-E,Xtrackers - Msci Usa Swap Ucits Etf,
04BLCK-E,Ftif Sicav - Technology Fund,
04B9JS-E,Fidelity Blue Chip Growth Fund,
04B9V4-E,Fidelity Puritan Fund,
04BGPT-E,Hartford Growth Opportunities Hls Fund,
04BT1V-E,Janus Henderson Global Technology Fund,
04BFW9-E,Voya Mid Cap Opportunities Fund,
04BGG7-E,Jnl/jpmorgan Mid Cap Growth Fund,
04FWYZ-E,Schwab Us Mid Cap Etf,
04BKBS-E,Vanguard Mid Cap Growth Fund,
04CYCF-E,Eaton Vance Tax Managed Diversified Equity Income Fund,
04B8K7-E,American Funds Fundamental Investors,
04BG4R-E,Goldman Sachs Growth Opportunities Fund,
04BBHT-E,Janus Henderson Global Research Fund,
04B9YF-E,Fidelity Total Market Index Fund,
04BF3Q-E,Vanguard Morgan Growth Fund,
04CTR1-E,John Hancock Ii - Mid Cap Stock Fund,
04BBGK-E,Hartford Capital Appreciation Hls Fund,
04FXVV-E,Fidelity Strategic Advisers Small Mid Cap Fund,
04B9JL-E,Fidelity Balanced Fund,
04BG2R-E,Victory Munder Mid Cap Core Growth Fund,
04CQ34-E,Fidelity Small Cap Growth Fund,
04BV83-E,Fidelity Vip - Mid Cap Portfolio,
04BGV6-E,Mfs Technology Fund,
04BFWF-E,Mainstay Vp - Large Cap Growth Portfolio,
04BVBK-E,Vanguard Institutional Total Stock Market Index Fund,
04G7DL-E,Fidelity Mid Cap Index Fund,
04CL4R-E,Federated Kaufmann Small Cap Fund,
04CQVJ-E,Eaton Vance Enhanced Equity Income Fund Ii,
04BKBN-E,Fidelity Independence Fund,
04CP75-E,Wellington Mgmt. Fds. (lu) - Us Research Equity Fund,
04KBH3-E,Cpr Invest - Global Disruptive Opportunities,
04HQNM-E,William Blair Sicav - Us Small-mid Cap Growth Fund,
04BTLL-E,Jpmorgan Mid Cap Equity Fund,
04FHR6-E,Ap7 Aktiefond,
04BFR7-E,Anchor Series Trust - Sa Wellington Capital Appreciation Port.,
04BCBT-E,Voya Large Cap Growth Fund,
04HPLX-E,Carmignac Portfolio - Patrimoine,
04D105-E,Stichting Pensioenfonds Abp (global Equity Portfolio),
04CDVT-E,Tiaa-cref Mid Cap Growth Fund,
04BVP7-E,Met Investors - Wmc Large Cap Research Portfolio,
04BLGW-E,Jpmorgan Funds - Us Technology Fund,
04BF25-E,Invesco Mid Cap Growth Fund,
04F1NN-E,Nuveen Winslow Large Cap Growth Fund,
04CMFZ-E,Vanguard Large Cap Index Fund,
04B9XY-E,Fidelity Select Port. - Technology Portfolio,
04FBP2-E,Ubs (lux) Institutional Fund - Key Selection Global Equity,
04C1K1-E,Columbia Variable Portfolio-mid Cap Growth Fund,
04BPQQ-E,Vanguard Balanced Index Fund (us),
04BHNL-E,Vanguard Variable Insurance - Small Company Growth Portfolio,
04DWDZ-E,Putnam Global Technology Fund,
04BDZZ-E,Usaa Science & Technology Fund,
04BGQT-E,Janus Aspen Ser. - Vit Enterprise Portfolio,
04CW6G-E,American Funds Insurance Series - Global Growth & Income Fund,
04G442-E,Capital Group Global Equity Fund,
04BGF1-E,John Hancock Vit - Mid Cap Stock Trust,
04BF9D-E,Columbia Acorn Select Fund,
04CB7M-E,Cif - Capital Group Global Equity Fund (lux),
04BHDB-E,Ishares Tr. - Russell 1000 Etf,
04BHX7-E,Ishares Tr. - Us Technology Etf,
04BFZJ-E,Jnl Multi Manager Small Cap Growth Fund,
04CLRP-E,Ishares Tr. - Core S&p Total Us Stock Market Etf,
04BH7L-E,Tiaa-cref Equity Index Fund,
04CT14-E,Dfa Us Core Equity 1 Portfolio,
04JCKR-E,Fidelity Sai Small Mid Cap 500 Index Fund,
04BWHT-E,Blackrock Global Funds - World Technology Fund,
04D17X-E,Eaton Vance Risk Managed Diversified Equity Income Fund,
04BX5R-E,Buffalo Discovery Fund,
04F85W-E,Schwab Us Large Cap Etf,
04CPSX-E,Eaton Vance Enhanced Equity Income Fund,
04BB69-E,Hartford Disciplined Equity Hls Fund,
04BG7Q-E,Goldman Sachs Mid Cap Value Fund,
04BFN7-E,Cref Equity Index Account,
04BV81-E,Fidelity Vip Iii - Growth Opportunities Portfolio,
04BB34-E,Goldman Sachs Large Cap Growth Insights Fund,
04C8WM-E,Challenge Funds - Technology Equity Fund,
04BH2Y-E,Putnam Global Equity Fund,
04D384-E,Fidelity Commonwealth Tr. Ii - Mid Cap Enhanced Index Fund,
04D6VR-E,Invesco Nasdaq Internet Etf,
04LDKL-E,None,
04KC4M-E,Victory Port. - Rs Mid Cap Growth Fund,
04BFP7-E,Eq/capital Guardian Research Portfolio,
04L0Y2-E,Spyglass Growth Fund,
04H447-E,Eaton Vance Growth Fund,
04CCKK-E,Eaton Vance Growth Portfolio,
04CT15-E,Dfa Us Core Equity 2 Portfolio,
04F85X-E,Schwab Us Large Cap Growth Etf,
04BTMW-E,Columbia Seligman Global Technology Fund,
04F85T-E,Schwab Us Broad Market Etf,
04J4QF-E,Jpmorgan Funds - Us Equity All Cap Fund,
04BPZG-E,Nuveen Mid Cap Growth Opportunities Fund,
04G8D0-E,Eaton Vance Focused Growth Opportunities Fund,
04CDVX-E,Tiaa-cref Large Cap Growth Index Fund,
04BR4G-E,Ubs (lux) Equity Fund - Global Multi Tech (usd),
04KG9G-E,Transamerica Large Growth,
04CHMT-E,Am One Dl International Research Open Mother Fund,
04CMB0-E,T Rowe Price Diversified Mid Cap Growth Fund,
04BK0V-E,Jnl/mellon Capital Information Technology Sector Fund,
04BHNJ-E,Vanguard Variable Insurance - Mid Cap Index Portfolio,
04B9ZJ-E,Fidelity Trend Fund,
04H2WN-E,Fidelity Series Blue Chip Growth Fund,
04BGR1-E,Janus Aspen Ser. - Vit Global Research Portfolio,
04HHP8-E,Large Cap Index Master Portfolio,
04BGQR-E,Janus Aspen Ser. - Vit Research Portfolio,
04FMF7-E,Xtrackers - S&p 500 Swap Ucits Etf,
04FVP2-E,Vanguard Russell 1000 Growth Index Fund,
04DG1K-E,Fidelity Series All Sector Equity Fund,
04KJWC-E,Fidelity Small Cap Growth K6 Fund,
04HKKC-E,Ishares Iii Plc - Core Msci World Ucits Etf,
04HPLT-E,Carmignac Portfolio - Investissement,
04H3H6-E,Fidelity Covington Tr. - Msci Information Technology Index Etf,
04KC4Q-E,Victory Rs Select Growth Fund,
04B9KV-E,Fidelity Advisor Diversified Stock Fund,
04D2J6-E,Norges Bank Foreign Exchange Reserves,
04BZ8S-E,Mainstay Vp - Mackay Mid Cap Core Portfolio,
04G24W-E,Blackrock Isf - Ishares Developed World Index Fund (ie),
04BCGS-E,Nationwide Fund,
04BFGS-E,Axa Large Cap Core Managed Volatility Portfolio,
04C46M-E,Eaton Vance Tax Managed Multi Cap Growth Portfolio,
04CDHZ-E,Canada Pension Plan,
04CC86-E,Fjarde Ap Fonden,
04B9N1-E,Federated Mdt Mid Cap Growth Fund,
04BWL5-E,Blackrock Uk Fund,
04B9HL-E,Fidelity Advisor Series Vii - Technology Fund,
04CC88-E,Tredje Ap Fonden,
04CNH1-E,Fidelity Advisor Series I - Mid Cap Ii Fund,
04HNC9-E,Blackstone Alternative Multi Strategy Fund,
04BJHP-E,Wanger Select Fund,
04BGR4-E,Janus Aspen Ser. - Vit Global Technology Portfolio,
04BH4C-E,Brighthouse/wellington Balanced Portfolio,
04D6M6-E,Vanguard Total World Stock Index Fund,
04CZQD-E,Fidelity Commonwealth Tr. Ii - Large Cap Gwth. Enh. Index Fund,
04BGLP-E,Sunamerica Series Trust - Sa Jpmorgan Mid Cap Growth Portfolio,
04BFSZ-E,Lincoln Vip - Blended Large Cap Growth Managed Volatility Fund,
04BJ2T-E,Schwab Total Stock Market Index Fund,
04BJQD-E,Profunds - Internet Ultrasector,
04KRLT-E,Axa World Funds - Framlington Digital Economy,
04BHD4-E,Ishares Tr. - Russell 3000 Etf,
04BJK4-E,Vanguard Strategic Equity Fund,
04BF3K-E,Vanguard Tax Managed Capital Appreciation Fund,
04BGWH-E,Vanguard Ftse Social Index Fund,
04CYDH-E,Bmo Private Us Special Equity Portfolio,
04BZ2M-E,Vy T Rowe Price Diversified Mid Cap Growth Portfolio,
04CTBZ-E,Ubs Us Equity Alpha Relationship Fund,
04BJ2S-E,Schwab 1000 Index Fund,
04GHXL-E,St. James's Place Unit Trust - Global Equity,
04JJ06-E,Vanguard Msci Index International Shares Etf,
04HNFQ-E,Vanguard International Shares Index Fund,
04H2W3-E,Fidelity Advisor Series I - Growth Opportunities Fund,
04CC89-E,Andra Ap Fonden,
04CMY4-E,Ishares Tr. - Morningstar Mid Cap Growth Etf,
04BR3Y-E,Ubs (lux) Equity Fund - Mid Caps Usa (usd),
04BF35-E,Value Line Asset Allocation Fund,
04HNP6-E,Priviledge - Wellington Large Cap Us Research,
04DS3D-E,Vanguard Invt. Fds. Icvc - Us Equity Index Fund,
04BNV9-E,Dws Technology Typ O,
04CS8H-E,New Zealand Superannuation Fund,
04CZKJ-E,Xtrackers - Msci World Swap Ucits Etf,
04GTG4-E,Spdr Ssga Us Large Cap Low Volatility Index Etf,
04KC4L-E,Victory Rs Science & Technology Fund,
