FactSet Entity ID,Institution_name,Discrepancy_Column
002P7T-E,"Williams, Jones & Associates LLC",
006840-E,"Morgan Stanley Investment Management, Inc.",
009Z61-E,"Vision Capital Management, Inc.",Incorrect: aum-(Ownership:583 Profile: 605) 
00303Y-E,Chicago Equity Partners LLC,
0FJXBY-E,William Blair Investment Management LLC,
0C7SBR-E,Brightworth LLC,
0C8VZ4-E,Rowland & Co.,
002SMM-E,"Old Point Trust & Financial Services, NA",
0684CV-E,"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",
0088TN-E,"Willis Investment Counsel, Inc.",
0GK9D1-E,D.A. Davidson & Co. (Investment Management),
05H5VF-E,John M. Cassaday,NO DATA
002JHW-E,Sterling Capital Management LLC,
002H7B-E,Natixis Advisors LP,
003KXL-E,"Woodley Farra Manion Portfolio Management, Inc.",
0CH436-E,"Sumitomo Mitsui Trust Asset Management Co., Ltd.",
0JD3LS-E,Bartlett & Co. Wealth Management LLC,
0B4476-E,Ossiam SA,
002HJ2-E,Amalgamated Bank (Investment Management),
006Y45-E,Nancy S. Newcomb,NO DATA
00179W-E,Mackenzie Financial Corp.,
0025QG-E,Old National Bank (Investment Management),
0FFZ67-E,Jyske Bank A/S (Investment Management),
081WGM-E,"BOKF, NA",
06M1NL-E,Thomas L. Bené,NO DATA
0040RV-E,"Central Bank & Trust Co. (Lexington, Kentucky)",
000RGG-E,Mason Street Advisors LLC,
05FQH7-E,Pennsylvania Trust Co.,
0080FS-E,SKY Investment Group LLC,
001NGD-E,"Salem Investment Counselors, Inc.",
00DQTN-E,Highland Capital Management Fund Advisors LP,
06MXD1-E,DSM Pension Services BV,
05G53H-E,Candriam Belgium SA,
003KDW-E,First National Trust Co.,Incorrect: turnover-(Ownership:Very Low Profile: Low) 
05HKY1-E,Larry C. Glasscock,NO DATA
002H3Q-E,Mutual of America Capital Management LLC,
05HM07-E,State Street Global Advisors Ltd. (Canada),
0CR65H-E,"Benedict Financial Advisors, Inc.",
0B6K88-E,Cambria Investment Management LP,
0713SK-E,Hans-Joachim Körber,NO DATA
0CY11L-E,Spearhead Capital Advisors LLC,
0J8GKZ-E,Seeyond SA,
002WNH-E,"Lynch & Associates, Inc.",
002HLG-E,"Lowe, Brockenbrough & Co., Inc.",
0HHQF6-E,Centenus Global Management LP,
06DQ8L-E,Stephens Investment Management Group LLC,
06YFTN-E,Russell Thomas Libby,NO DATA
006CRS-E,"Truehand, Inc.",
002HFB-E,"Cabot Wealth Management, Inc.",
0DV738-E,Pacad Investment Ltd.,
001MDY-E,Ontario Teachers' Pension Plan Board,
0CXCQ2-E,Allied Investment Advisors LLC,
05LX7C-E,Carnick & Kubik Group LLC,
002P1V-E,"Opus Investment Management, Inc.",
0C5X3J-E,Matarin Capital Management LLC,
009660-E,Callahan Advisors LLC,
06D2PY-E,"Securities America Advisors, Inc.",
0DZXVN-E,Boston Private Wealth LLC,
0089LJ-E,BKD Wealth Advisors LLC,
0090MY-E,AlphaSimplex Group LLC,
00D1DK-E,Hemenway Trust Co. LLC,
05ZYBJ-E,Barclays Capital Securities Ltd.,
05MBW5-E,"Contravisory Investment Management, Inc.",
002KL9-E,Richard G. Tilghman,NO DATA
004XYY-E,Robert Scott Charlton,NO DATA
002L8H-E,"CIBC Private Wealth Advisors, Inc.",
002H2Z-E,Hartford Investment Management Co.,
00B4HZ-E,Global X Management Co. LLC,
003QZ9-E,"Goelzer Investment Management, Inc.",
0H2DT5-E,Sepio Capital LLC,
002K3F-E,The Colony Group LLC,
0FJYPK-E,Institutional & Family Asset Management LLC,
0B1Z1C-E,Assenagon Asset Management SA (Germany),
0C17NN-E,Quadrature Capital Ltd.,
09YLKZ-E,QS Investors LLC,
07FSTV-E,Sector Omega AS,NO DATA
06MXB4-E,Sector Asset Management AS,Incorrect: eaum-(Ownership:712 Profile: 958) 
002J6M-E,Edgewood Management LLC,
002Q5M-E,"Baxter Bros., Inc.",
0FG27B-E,"Associated Trust Co., N.A. (Wisconsin)",
05LVK2-E,Fruth Investment Management,
0DV7GN-E,G&S Capital LLC,
0GFDZL-E,Washington Crossing Advisors LLC,
05N4PC-E,Jefferies Investment Advisers LLC,
003LHZ-E,BP Investment Management Ltd.,
002FQB-E,F.L. Putnam Investment Management Co.,
0DVFVB-E,AlphaCrest Capital Management LLC,
002JPV-E,Allstate Investment Management Co.,
002G7V-E,"Dillon & Associates, Inc.",
001YX3-E,"Securian Asset Management, Inc.",
0JVWCD-E,"People's United Advisors, Inc.",
003L7B-E,"Cornerstone Advisors, Inc.",
002HXZ-E,Teachers Retirement System of the State of Kentucky,
0C7Z5F-E,Pinkerton Retirement Specialists LLC,
002KQG-E,"Duncker, Streett & Co. LLC",
002GVN-E,Synovus Trust Co. NA (Investment Management),
05K1YC-E,Eurizon Capital SA,
002HSX-E,Gamble Jones Investment Counsel,
002GMZ-E,"Keating Investment Counselors, Inc.",
002W19-E,"Peninsula Asset Management, Inc.",
00B130-E,Northwest Investment Counselors LLC,
0DVFWG-E,Trexquant Investment LP,
002J8K-E,Cadence Capital Management LLC,
05KSHP-E,Callan LLC,
06ZNQF-E,Wayne R. Shurts,NO DATA
0CVCK1-E,"Pacer Advisors, Inc.",
0C7L96-E,"BTC Capital Management, Inc.",
002GCJ-E,"Griffin Asset Management, Inc.",
00GFHN-E,Aberdeen Standard Capital Ltd.,
0G15HV-E,Schonfeld Strategic Advisors LLC,
0DZ853-E,Wellington Management Singapore Pte Ltd.,
