FactSet Entity ID,Institution_name,Discrepancy_Column
0090YC-E,Nicholas Investment Partners LP,
00FZ3W-E,Seven Eight Capital LP,
06T64C-E,Barbara J. Rechterman,NO DATA
002JLB-E,Royal London Asset Management Ltd.,
0DN90G-E,Engineers Gate Manager LP,
0D6P2W-E,Bank J. Safra Sarasin AG (Investment Management),Incorrect: eaum 
09ZTH9-E,Brown Advisory LLC,
05FYYC-E,Deka Investment GmbH,
06QGX5-E,"Nomura Securities Co., Ltd. (Private Banking)",
05V7SP-E,Barclays Bank Plc (Private Banking),
05JJB4-E,Andra AP-fonden,
05QPVM-E,"China Asset Management Co., Ltd.",Incorrect: eaum 
05FVVM-E,ProFund Advisors LLC,
0HW4GD-E,Andrew Low Ah Kee,NO DATA
0JMG0P-E,Lee Capital Asset Management LLC,
05JJ9M-E,FjÌ_rde AP-fonden,Incorrect: aum 
00566B-E,Northern Trust Global Investments Ltd.,Incorrect: eaum 
05G6QK-E,Aviva Investors Global Services Ltd.,
0CRKCV-E,CWM LLC,
0CPHJW-E,Monashee Investment Management LLC,
06M2R5-E,Pictet Asset Management SA,
0DH8SC-E,Blackstone Alternative Investment Advisors LLC,Incorrect: eaum 
05PG7S-E,Aperio Group LLC,
0DLBGG-E,Vanguard Global Advisers LLC,Incorrect: style eaum 
05J6QK-E,"Los Angeles Capital Management & Equity Research, Inc.",
0GS2R4-E,"Citigroup Global Markets, Inc. (Investment Management)",Incorrect: aum 
0D72K5-E,AHL Partners LLP,
0G15HV-E,Schonfeld Strategic Advisors LLC,
08B245-E,Antipodean Advisors LLC,
05K28L-E,State Street Global Advisors Ltd.,Incorrect: eaum 
05FW81-E,AXA Investment Managers UK Ltd.,
05G2Z1-E,Capital International Ltd.,
05LNBL-E,Charles J. Robel,NO DATA
06SVND-E,Guardians of New Zealand Superannuation,
002Y4H-E,UBS Securities LLC,
05VHVJ-E,Lazard Asset Management LLC,
06F5NK-E,RBC Capital Markets LLC (Investment Management),
0CVJ78-E,EFG Asset Management (Americas) Corp.,
000TGV-E,"Amundi Pioneer Asset Management, Inc.",
0612GZ-E,The Public Sector Pension Investment Board,
05G36K-E,Gulf International Bank (UK) Ltd.,
0DHGV8-E,Storebrand Asset Management AS,Incorrect: eaum 
000BPX-E,APG Asset Management NV,
06T5YJ-E,ZÌ_rcher Kantonalbank (Investment Management),
0645TX-E,"Envestnet Asset Management, Inc.",
07JHCB-E,Steven Aldrich,NO DATA
06JN4W-E,BNP Paribas Arbitrage SNC,
002HJ2-E,Amalgamated Bank (Investment Management),
079G80-E,EULAV Asset Management,
0DNBZ2-E,Cubist Systematic Strategies LLC,
00140T-E,Tudor Investment Corp.,
0C7G1Q-E,EFG Asset Management (UK) Ltd.,Incorrect: eaum 
002D6G-E,"Sit Investment Associates, Inc.",
002HYD-E,"Wells Capital Management, Inc.",
006VRV-E,SG Americas Securities LLC,
0FFKLT-E,Summit Partners Public Asset Management LLC,
005GHN-E,"Oppenheimer Asset Management, Inc.",
05G784-E,HSBC Global Asset Management (UK) Ltd.,
001H9C-E,Deltec Asset Management LLC,
05GSFD-E,KLP Kapitalforvaltning AS,Incorrect: eaum 
05RK9D-E,Utah Retirement Systems,
05G2J8-E,Eurizon Capital SGR SpA,Incorrect: eaum 
001ZHV-E,"TD Asset Management, Inc.",
06GM2B-E,Migdal Mutual Funds Ltd.,Incorrect: eaum 
001MJ6-E,Colorado Public Employees' Retirement Association,
06QBDB-E,Mn Services Vermogensbeheer BV,
002H3S-E,"Nomura Asset Management Co., Ltd.",
05G975-E,Danske Bank A/S (Investment Management),Incorrect: eaum 
0C17NN-E,Quadrature Capital Ltd.,
06LG12-E,"IA Clarington Investments, Inc.",Incorrect: eaum 
05G6HN-E,SEB Investment Management AB,Incorrect: aum 
0090RC-E,"Southeast Asset Advisors, Inc.",
00724F-E,Wells Fargo Advisors Financial Network LLC,
05P5CR-E,Federated Investment Management Co.,
05GBGD-E,Amundi Deutschland GmbH,
0FYZK3-E,Xact KapitalfÌ¦rvaltning AB,
001MTF-E,Comerica Bank (Investment Management Texas),
0FB3YK-E,Merrill Lynch International (Investment Management),Incorrect: eaum 
05KBWD-E,Fideuram Asset Management (Ireland) DAC,Incorrect: eaum 
08DLP8-E,BlackRock Asset Management Canada Ltd.,
0DMSKN-E,"Stifel Nicolaus & Co., Inc. (Investment Management)",
05HL2P-E,"Industrial Alliance Investment Management, Inc.",Incorrect: eaum 
05J862-E,Neuberger Berman BD LLC,Incorrect: eaum 
0035TM-E,UBS O'Connor LLC,
00D1CQ-E,Quantbot Technologies LP,
001BC5-E,"UBS Financial Services, Inc.",
0HXD23-E,Blueshift Asset Management LLC,
0H6JNC-E,Credit Suisse Asset Management (Schweiz) AG,Incorrect: eaum 
00FYZ2-E,"Gideon Capital Advisors, Inc.",
006840-E,"Morgan Stanley Investment Management, Inc.",
05FW98-E,Lyxor International Asset Management SAS,Incorrect: eaum 
0BCTNT-E,PointState Capital LP,
008K3J-E,Alaska Retirement Management Board,
001XQ7-E,"Penn Capital Management Co., Inc.",
002TPV-E,Strategic Advisers LLC,
05FGHP-E,Principal Global Investors LLC,
0HJ56H-E,Weld Capital Management LLC,
000WX0-E,State of Wisconsin Investment Board,
001Y83-E,Bessemer Investment Management LLC,Incorrect: aum turnover 
06Q1B4-E,BlackRock (Singapore) Ltd.,
003JY3-E,"RBC Private Counsel (USA), Inc.",
0FM5MX-E,NN Investment Partners BV,Incorrect: style eaum 
0048PD-E,Shell Asset Management Company BV,
05GSK4-E,DNB Asset Management AS,
0C04XM-E,Ziegler Capital Management LLC,
0C8G32-E,Capital Insight Partners LLC,
05XF3L-E,Irish Life Investment Managers Ltd.,Incorrect: eaum 
05ZP03-E,Dimensional Fund Advisors Ltd.,Incorrect: eaum 
06PR8W-E,Brian H. Sharples,NO DATA
05J6JS-E,Nissay Asset Management Corp.,
09QWTV-E,BNP Paribas Asset Management Belgium SA,Incorrect: eaum 
006F31-E,DWS International GmbH,
05FWFG-E,Rathbone Unit Trust Management Ltd.,Incorrect: eaum 
