FactSet Entity ID,Institution_name,Discrepancy_Column
00907S-E,Reilly Financial Advisors LLC,
0FG27B-E,"Associated Trust Co., N.A. (Wisconsin)",
060R9V-E,"Hexavest, Inc.",
0CZ2HG-E,Reliance Trust Co. of Delaware,
00BZKF-E,TD Ameritrade Investment Management LLC,
001T29-E,"Conning, Inc.",
000KN8-E,BMO Asset Managers Ltd.,
09NF3J-E,BG Fund Management Luxembourg SA,
005GNQ-E,"Wetherby Asset Management, Inc.",
0025QG-E,Old National Bank (Investment Management),
0C98MF-E,"EQIS Capital Management, Inc.",
07L0CH-E,Zeke Capital Advisors LLC,
00FYX9-E,Quantitative Systematic Strategies LLC,
002H9X-E,First Midwest Bank Trust Division,
0D6P2W-E,Bank J. Safra Sarasin AG (Investment Management),
074C8T-E,Lombard Odier Asset Management (Switzerland) SA,
05J6Y6-E,Commerce Bank (Investment Management),
002L4X-E,Paradigm Asset Management Co. LLC,
05MBX1-E,"KeyBank, NA (Investment Management)",
09QWTV-E,BNP Paribas Asset Management Belgium SA,
0DVH09-E,First Hawaiian Bank (Wealth Management),
07GPD8-E,Estabrook Capital Management LLC,
05G72B-E,Amundi Iberia SGIIC SA,
07FDBB-E,"Bellatore Financial, Inc.",
07K0FK-E,Feri Trust GmbH,
05PN7C-E,Douglass Winthrop Advisors LLC,
002HDF-E,David Vaughan Investments LLC,
0C8V4Y-E,"Regal Wealth Group, Inc.",
0G67J4-E,Steward Partners Investment Advisory LLC,
0C9H0R-E,Financial Advocates Investment Management LLC,
00BJ81-E,Cerebellum GP LLC,
0056DF-E,"Piedmont Investment Advisors, Inc.",
0DQ0M1-E,Pax Ellevate Management LLC,
0JWJMY-E,Landmark Bank (Investment Management),
