,MI name,MI Pos,MI Market Val,DT Name,DT Pos,DT Market Val,Pos Diff (Percentage),Market Val Diff (Percent),MI Not Matched,DT Not Matched
3580,Global Endowment Management LP,2540.0,0.3518408,Global Endowment Management LP,2540,340258.0,0,3.35,,
3581,Guidance Point Advisors LLC,2524.0,0.34962448,Guidance Point Advisors LLC,2524,338115.0,0,3.35,,
3582,Horrell Capital Management Inc.,2510.0,0.3476852,"Horrell Capital Management, Inc.",2510,336240.0,0,3.35,,
3583,"Notz, Stucki Europe S.A.",2502.0,0.34657704,"Notz, Stucki Europe SA",939,125788.0,90.85,93.48,,
3584,Harris Associates L.P.,2500.0,0.3463,Harris Associates LP,2500,334900.0,0,3.35,,
3585,Kohmann Bosshard Financial Services LLC.,2500.0,0.3463,Kohmann Bosshard Financial Services LLC,2500,334900.0,0,3.35,,
3586,Internationale Kapitalanlagegesellschaft mbH,2500.0,0.3463,"Capital International, Inc.",317179,42489299.0,-196.87,-196.77,,
3587,JRS Finanzmandate AG,2500.0,0.3463,JRS Finanzmandate GmbH,4088,554762.0,-48.21,-46.27,,
3588,Preserver Partners LLC,2500.0,0.3463,Preserver Partners LLC,2500,340675.0,0,1.64,,
3589,Consulting Team Vermögensverwaltung AG,2500.0,0.3463,CONSULTING TEAM Vermögensverwaltung AG,4300,547192.0,-52.94,-44.97,,
3590,Roundtable Capital Partners Inc.,2500.0,0.3463,"Roundtable Capital Partners, Inc.",2500,253925.0,0,30.78,,
3591,LABHA Investment Advisors SA,2500.0,0.3463,LABHA Investment Advisors SA,3000,353820.0,-18.18,-2.15,,
3592,Tuscan Ridge Asset Management LLC,2500.0,0.3463,Tuscan Ridge Asset Management LLC,2500,334900.0,0,3.35,,
3593,Sydbank A/S,2489.0,0.34477628,Sydbank A/S (Investment Management),2489,343134.0,0,0.48,,
3594,First Western Capital Management Co.,2485.0,0.34422220000000003,First Western Capital Management Co.,2485,332891.0,0,3.35,,
3595,Alpine Woods Investments LLC,2469.0,0.34200588,Alpine Woods Capital Investors LLC,2469,330747.0,0,3.35,,
3596,Vista Pvt. Wealth Partners LLC,2464.0,0.34131328,"Vista Capital Partners, Inc.",5713,765313.0,-79.47,-76.63,,
3597,Epstein and White Financial LLC,2453.0,0.33978956,Epstein & White Financial LLC,2453,328604.0,0,3.35,,
3598,Garrison Financial Corp.,2451.0,0.33951252,Arrow Financial Corp. (Investment Management),5272,706237.0,-73.05,-70.14,,
3599,Cavanal Hill Investment Management Inc.,2427.0,0.33618804,"Cavanal Hill Investment Management, Inc.",2282,305697.0,6.16,9.5,,
3600,Planning Directions Inc.,2418.0,0.33494136,"Planning Directions, Inc.",2418,323915.0,0,3.35,,
3601,Hauck & Aufhauser (Schweiz) AG,2415.0,0.3345258,Hauck & Aufhäuser (Schweiz) AG,20303,2711676.0,-157.48,-156.07,,
3602,Freie Internationale Sparkasse SA,2400.0,0.332448,Freie Internationale Sparkasse SA,4500,420840.0,-60.87,-23.47,,
3603,Financial Gravity Companies Inc.,2392.0,0.33133984,"Financial Gravity Wealth, Inc.",4410,590764.0,-59.34,-56.27,,
3604,HRT Financial LLC,2389.0,0.33092428,HRT Financial LLC,2389,320030.0,0,3.35,,
3605,Retirement Planning Group Inc.,2386.0,0.33050872,"The Retirement Planning Group, Inc.",2386,319629.0,0,3.35,,
3606,Stuart Chaussée & Associates Inc.,2373.0,0.32870796,"Stuart Chaussée & Associates, Inc.",2373,317887.0,0,3.35,,
3607,Trust Asset Management LLC,2348.0,0.32524496,Trust Asset Management LLC,2348,314538.0,0,3.35,,
3608,"SGBTCI, S.A.",2347.0,0.32510644,"CI Investments, Inc.",2428947,325381740.0,-199.61,-199.6,,
