factset_entity_id,Name,Position,Style,Turnover,EquityAssets,QualityRating
002G84-E,Lodestar Investment Counsel LLC,9810,GARP,Very Low,937.815894,69
002G98-E,Garcia Hamilton & Associates LP,0,GARP,Medium,7.63746,51
002GB3-E,Prio Wealth LP,17075,GARP,Very Low,2140.980437,75
002GB5-E,Manulife Asset Management (US) LLC,0,GARP,Very Low,45549.07385,87
002GBT-E,"D. F. Dent & Co., Inc.",2158,Growth,Very Low,5100.100478,79
002GCJ-E,"Griffin Asset Management, Inc.",2253,Yield,Very Low,716.85715,65
002GD0-E,"James Investment Research, Inc.",0,GARP,Medium,1794.087608,52
002GF6-E,"Argus Investors' Counsel, Inc.",23360,GARP,Very Low,210.750211,60
002GG1-E,Howland Capital Management LLC,3486,GARP,Very Low,1274.091007,65
002GG4-E,"Leavell Investment Management, Inc.",5785,GARP,Very Low,906.241782,66
002GG9-E,McKinley Capital Management LLC,24040,GARP,Very Low,1549.138933,70
002GGK-E,Rampart Investment Management Co. LLC,11636,GARP,Very Low,898.456831,63
002GGR-E,Sentry Investment Management LLC,100000,GARP,Very Low,1495.360885,67
002GHH-E,"Connors Investor Services, Inc.",0,GARP,Very Low,753.053794,69
002GHS-E,Silver Bridge Capital Management LLC,0,Undefined,Medium,0,0
002GJQ-E,Wisconsin Capital Management LLC,0,GARP,Low,119.640798,54
002GKC-E,BMI Capital LLC,0,Deep Value,Medium,0,0
002GKZ-E,"Johnston, Reid & Mitchell, Inc.",0,Undefined,Medium,0,0
002GL6-E,"NCM Capital Management Group, Inc.",0,GARP,Medium,0,0
002GL7-E,New Mexico Educational Retirement Board,18350,GARP,Very Low,2358.865744,68
002GLF-E,The Renaissance Group LLC,0,Quant,Low,2809.432391,55
002GMV-E,Grant Investment Management,0,Undefined,Medium,0,0
002GQB-E,"Mitchell Sinkler & Starr, Inc.",0,Yield,Very Low,88.52891,52
002GSP-E,Pitcairn Group LP,1896,GARP,Low,1060.373272,59
002GTP-E,Gateway Investment Advisers LLC,11025,Index,Very Low,11401.96793,81
002GTQ-E,"New England Asset Management, Inc.",0,Yield,Very Low,5218.529168,80
002GTZ-E,"Johnson Investment Counsel, Inc.",27217,GARP,Very Low,4721.959015,73
002GV3-E,Ropes & Gray LLP (Private Client Group),0,GARP,Medium,0,0
002GVB-E,"Murphy Capital Management, Inc.",9880,GARP,Very Low,666.314042,65
002GW3-E,"Boys, Arnold & Co., Inc.",0,GARP,Very Low,677.647591,65
002GWD-E,"Folger Nolan Fleming Douglas Capital Management, Inc.",1351,Yield,Very Low,671.403441,65
002GWM-E,Highland Capital Management LLC,0,GARP,Low,1411.841915,62
002GXG-E,Stratton Management Co.,0,GARP,Medium,0,0
002GZ0-E,"Dixon, Hubard, Feinour & Brown, Inc.",0,GARP,Very Low,384.243273,59
002GZG-E,Franklin Advisory Services LLC,2408,GARP,High,5316.993408,52
002GZM-E,"HGK Asset Management, Inc.",0,Value,Low,426.724903,50
002H07-E,Charter Trust Co.,20571,Yield,Very Low,844.670077,66
002H2F-E,"R. Stewart Eads Investment Counsel, Inc.",9461,GARP,Very Low,178.082877,57
002H2R-E,"Fuller & Thaler Asset Management, Inc.",0,Growth,Low,8312.189033,75
002H2Z-E,Hartford Investment Management Co.,27162,GARP,Low,3632.382262,66
002H30-E,"Holt-Smith Advisors, Inc.",0,Undefined,Medium,0,0
002H3P-E,Morgan Dempsey Capital Management LLC,0,GARP,Very Low,257.488328,58
002H3Q-E,Mutual of America Capital Management LLC,29249,GARP,Very Low,7034.049077,70
002H3S-E,"Nomura Asset Management Co., Ltd.",49634,GARP,Very Low,10267.57979,79
002H43-E,"PanAgora Asset Management, Inc.",47928,Index,Medium,22744.66137,67
002H51-E,"Abner, Herrman & Brock LLC",10221,GARP,Very Low,705.237207,63
002H53-E,Voya Investment Management Co. LLC,794245,Growth,Low,44830.92419,81
002H57-E,"Armstrong Shaw Associates, Inc.",23265,GARP,Low,107.436107,54
002H5C-E,"Baldwin Brothers, Inc.",1615,GARP,Very Low,693.341807,62
002H5M-E,"Campbell Newman Asset Management, Inc.",0,GARP,Very Low,662.246299,68
002H5S-E,"Connor, Clark & Lunn Investment Management Ltd.",11990,Value,Low,15893.08285,75
002H5W-E,Doheny Asset Management LLC,2467,Growth,Low,127.905185,51
002H63-E,The First National Bank of Omaha (Investment Management),72235,GARP,Very Low,1642.289618,70
002H67-E,"Fulton Financial Advisors, NA",0,GARP,Medium,0,0
002H6S-E,"Palouse Capital Management, Inc.",0,GARP,Low,298.759422,56
002H71-E,"Marvin & Palmer Associates, Inc.",0,GARP,Medium,199.680304,51
002H7B-E,Natixis Advisors LP,107139,GARP,Low,11683.90069,73
002H7G-E,Orleans Capital Management Corp.,8379,GARP,Very Low,132.381903,56
002H7K-E,"Parsons Capital Management, Inc.",0,GARP,Very Low,926.855559,66
002H7S-E,RNC Capital Management LLC,1139,Yield,Medium,1512.198554,62
002H7Y-E,Russell Investment Management LLC,0,GARP,Low,55237.49314,82
002H8C-E,"First Financial Bank, NA (Terre Haute, Indiana)",0,Yield,Very Low,139.826229,51
002H8L-E,Westwood Management Corp. (Illinois),3000,GARP,Very Low,770.686706,73
002H8W-E,Anchor Capital Advisors LLC,0,GARP,Low,2936.87067,70
002H94-E,Burnham Asset Management Corp.,0,GARP,Medium,0,0
002H98-E,Cedar Hill Associates LLC,0,GARP,Low,268.10938,56
002H9X-E,First Midwest Bank Trust Division,5484,GARP,Very Low,774.166123,58
002HB2-E,Glens Falls National Bank & Trust Co.,360,GARP,Very Low,289.663981,54
002HB4-E,Tufton Capital Management LLC,1750,Yield,Very Low,472.778765,63
002HBD-E,"Jacobs Levy Equity Management, Inc.",59770,Growth,Medium,7631.646672,63
002HBH-E,"Douglas C. Lane & Associates, Inc.",110057,GARP,Medium,0,0
002HBL-E,Martingale Asset Management LP,0,GARP,Low,9539.493209,72
002HCK-E,The Mechanics Bank Asset Management,0,Yield,Very Low,445.772529,62
002HCN-E,Osborn Williams & Donohoe LLC,1325,GARP,Very Low,962.522942,63
002HDL-E,"WesBanco Bank, Inc. (Investment Management)",9706,GARP,Very Low,2088.739739,68
002HDX-E,Arcadia Investment Management Corp.,22655,GARP,Very Low,365.00489,56
002HDZ-E,"Henry H. Armstrong Associates, Inc.",43165,GARP,Very Low,650.803284,73
002HF5-E,Bel Air Investment Advisors LLC,0,GARP,Medium,0,0
002HFG-E,Chase Investment Counsel Corp.,1831,GARP,High,266.405766,38
002HFN-E,Emerson Investment Management LLC,0,Yield,Medium,0,0
002HFX-E,Fir Tree Capital Management LP,0,Hedge Fund,Medium,1845.283839,45
002HG9-E,"Jamison, Eaton & Wood, Inc.",0,Undefined,Medium,0,0
002HGC-E,"Lawrence W. Kelly & Associates, Inc.",0,GARP,Very Low,591.758544,67
002HGG-E,LVM Capital Management Ltd.,1183,Yield,Very Low,445.644642,62
002HGP-E,"Meeder Asset Management, Inc.",2180,GARP,Medium,1316.105819,48
002HGQ-E,"Middleton & Co., Inc.",4679,GARP,Very Low,633.148775,67
002HGW-E,"Neville, Rodie & Shaw, Inc.",2566,GARP,Very Low,982.823691,66
002HHG-E,Strategic Investment Management LLC,0,GARP,Very Low,1569.63587,82
