FactSet Entity ID,Institution_name,AI_Targeting vs. Profile Page
006X6W-E,Taurus Asset Management LLC,
082KCY-E,Quantum Capital Management LLC,
002HXZ-E,Teachers Retirement System of the State of Kentucky,
002JC3-E,Dudley & Shanley LLC,
002HLD-E,Lockheed Martin Investment Management Co.,
06MXD1-E,DSM Pension Services BV,
00BQGT-E,Eagle Ridge Investment Management LLC,
068CY7-E,"MU Investments Co., Ltd.",
00BCGS-E,Greenwich Wealth Management LLC,
073S2M-E,Marketfield Asset Management LLC,
002Q5M-E,"Baxter Bros., Inc.",
0DX2RS-E,"Investec Asset Management North America, Inc.",
08HVXK-E,"B&T Capital Management, Inc.",
003RLJ-E,"Carderock Capital Management, Inc.",
008F9S-E,HM Capital Management LLC,
005F58-E,Zevenbergen Capital Investments LLC,
0CB794-E,Kiwi Wealth Investments LP,
06327D-E,Mitsubishi UFJ Trust & Banking Corp. (Investment Management),
05G7NS-E,Robeco Institutional Asset Management BV,
05G79W-E,Nordea Investment Management AB (Denmark),
05SG74-E,"Asset Management One Co., Ltd.",
002J4G-E,"Schafer Cullen Capital Management, Inc.",
009S80-E,"First Republic Investment Management, Inc.",
00250F-E,Templeton Investment Counsel LLC,
075SG7-E,"Robert W. Baird & Co., Inc. (Private Banking)",
002DKP-E,Towle & Co.,
0088TN-E,"Willis Investment Counsel, Inc.",
05P5CR-E,Federated Investment Management Co.,
07C34C-E,"J.J.B. Hilliard, W.L. Lyons LLC (Investment Management)",
05G027-E,1919 Investment Counsel LLC,
0090Q4-E,Barton Investment Management LLC,
0D3J68-E,Wells Fargo Clearing Services LLC,
00D1HH-E,Wharton Business Group LLC,
002GBN-E,"Capital Investment Services of America, Inc.",
0020WJ-E,"DePrince, Race & Zollo, Inc.",
00D6GY-E,"American National Registered Investment Advisor, Inc.",
00D17R-E,"Baskin Financial Services, Inc.",
05LVNC-E,"Smith, Graham & Co. Investment Advisors LP",
002H3G-E,Terry McDaniel & Co.,
004B51-E,American Assets Investment Management LLC,
003L6Z-E,"Chesley, Taft & Associates LLC",
002FQB-E,F.L. Putnam Investment Management Co.,
002GG9-E,McKinley Capital Management LLC,
00BQTG-E,Palladium Partners LLC,
05PW4T-E,Grandfield & Dodd LLC,
002HJ2-E,Amalgamated Bank (Investment Management),
003K1N-E,Arrowstreet Capital LP,
05FVRY-E,"Hennessy Advisors, Inc. (Investment Management)",
05YN66-E,Night Owl Capital Management LLC,
002GSB-E,"Miller/Howard Investments, Inc.",
001TRV-E,"Academy Capital Management, Inc.",
0C2Z96-E,InterOcean Capital LLC,
05FW1N-E,"Edgemoor Investment Advisors, Inc.",
002J67-E,Osborne Partners Capital Management LLC,
00B0TT-E,WealthTrust Fairport LLC,
0C26PB-E,"Accredited Investors, Inc.",
09P8C5-E,BNP PARIBAS ASSET MANAGEMENT Netherlands NV,
05PTV9-E,Progressive Investment Management Corp.,
0C92ZQ-E,SNS Financial Group LLC,
083PBJ-E,Copeland Capital Management LLC,
002GWM-E,Highland Capital Management LLC,
002JDD-E,The Burney Co.,
002CHW-E,Smith Asset Management Group LP,
000CGW-E,Barings LLC,
0C9FKQ-E,EisnerAmper Wealth Management & Corporate Benefits LLC,
074MK0-E,Broadway National Bank Asset Management,
0CY2VP-E,Greenbrier Partners Capital Management LLC,
0DRXGH-E,Two Creeks Capital Management LP,
001BC5-E,"UBS Financial Services, Inc.",
000P8J-E,"Loomis, Sayles & Co. LP",
05GVFN-E,Swedbank Robur Fonder AB,
002HTG-E,Great-West Capital Management LLC,
002GKD-E,Brown Capital Management LLC,
0645TX-E,"Envestnet Asset Management, Inc.",
002N8C-E,Churchill Management Corp.,
002JM1-E,Hardman Johnston Global Advisors LLC,
002GTQ-E,"New England Asset Management, Inc.",
001X1H-E,"Private Management Group, Inc.",
07HQ1Z-E,HighTower Advisors LLC,
005DWD-E,Alesco Advisors LLC,
002HDF-E,David Vaughan Investments LLC,
0DDLFQ-E,Janney Montgomery Scott LLC (Investment Management),
05J8FY-E,Kemper Corp. (Investment Portfolio),
001P6G-E,Torray LLC,
008K0W-E,United Capital Financial Advisers LLC,
000BL3-E,"Advisory Research, Inc.",
0D3W7P-E,Foundry Partners LLC (Minnesota),
002J55-E,"TWIN Capital Management, Inc.",
004042-E,"Cullinan Associates, Inc.",
0BCNBH-E,Nuveen Asset Management LLC,
002KQS-E,Lateef Investment Management LP,
0B4RZ5-E,KBI Global Investors Ltd.,
002W55-E,Axiom International Investors LLC,
0049MP-E,RegentAtlantic Capital LLC,
003LHZ-E,BP Investment Management Ltd.,
002BS9-E,"Bowen Hanes & Co., Inc.",
