FactSet Fund ID,Fund_name,AI_Targeting vs. Profile Page
04GGNM-E,Td Us Monthly Income Fund,
04BFFJ-E,Baron Small Cap Fund,
04BFZX-E,Brighthouse/wellington Core Equity Opportunities Portfolio,
04CV40-E,Ast Prudential Growth Allocation Portfolio,
04BBK4-E,Jpmorgan Us Research Enhanced Equity Fund,
04GX96-E,Mfs Blended Research Global Equity Extension Fund,
04BDTZ-E,Tiaa-cref Growth & Income Fund,
04CVC1-E,Unifavorit: Aktien,
04BY8C-E,Threadneedle Invt. Funds Icvc - American Select Fund,
04BKBN-E,Fidelity Independence Fund,
04BC8M-E,Natixis Us Equity Opportunities Fund,
04BHSK-E,Pacific Select Fund - Main Street Core Portfolio,
04BFFS-E,Cohen & Steers Total Return Realty Fund,
04BGWD-E,Penn Series - Flexibly Managed Fund,
04JQ6W-E,Invt. Managers Ser. Tr. Ii - Vivaldi Merger Arbitrage Fund,
04GXK3-E,Dfa Us Large Cap Value Series,
04B8VJ-E,Capital Income Builder,
04DL0X-E,Jpmorgan Investment Funds - Global Income Fund,
04CYCK-E,Principal Investors - Equity Income Fund,
04BJ9C-E,Clearbridge Dividend Strategy Fund,
04CLPV-E,American Century Mid Cap Value Fund,
04BL6Y-E,Schroder Isf - Us Large Cap,
04BDVY-E,T Rowe Price Blue Chip Growth Fund,
04BVG1-E,Franklin Income Vip Fund,
04FTSR-E,Conventum - Lyrical Fund,
04G3H3-E,Transamerica Large Cap Value Fund,
04FYJL-E,Blackrock Global Funds - Global Equity Income Fund,
04BF9L-E,Fidelity Mega Cap Stock Fund,
04B927-E,American Funds Capital World Growth & Income Fund,
04BNXG-E,Vanguard Growth & Income Fund,
04BG9X-E,American Funds Insurance Series - Growth Fund,
04D59D-E,Imperial Global Equity Income Pool,
04BTYN-E,Mfs Massachusetts Investors Trust,
04C2XQ-E,Mfs Meridian Funds - Global Equity Fund,
04BKVR-E,Scottish Investment Trust Plc (the),
04BGSV-E,Blackrock Capital Appreciation Fund Inc.,
04D2NS-E,Federated Kaufmann Large Cap Fund,
04BJGJ-E,Torray Fund (the),
04C6TJ-E,Lord Abbett Res. Fund Inc. - Calibrated Dividend Growth Fund,
04GFS8-E,Advisers Invst. Trust-independent Franchise Partners Us Eqty.,
04BCYZ-E,T Rowe Price Capital Appreciation Fund,
04BGB6-E,John Hancock - Us Global Leaders Growth Fund,
04BRNS-E,Allianz Interglobal,
04BK5D-E,Fidelity Focused Stock Fund,
04BLCM-E,Ftif Sicav - Mutual Us Value Fund,
04B8BY-E,Voya Growth & Income Portfolio,
04JD7Q-E,Bridge Builder Small/mid Cap Value Fund,
04BNZK-E,Columbia Variable Portfolio-large Cap Growth Fund,
04BQT1-E,Jpmorgan Investment Funds - Us Select Equity Fund,
04BJK6-E,Vanguard Global Equity Fund,
04BFZM-E,Jnl/ppm America Value Equity Fund,
04D0QV-E,Jpmorgan Funds - Us Select Equity Plus Fund,
04G709-E,Compass Conservative Balanced Portfolio,
04D2NB-E,Nordea 1 - Global Climate & Environment Equity Fund,
04FCGL-E,John Hancock Iii - Disciplined Value Mid Cap Fund,
04C33D-E,First Eagle Amundi - International Fund,
