contact_id,factset_person_id,discrepancy
57d38c6391aea376a7b70923,05KNFB-E,
57d38c5a91aea376a7b6ea4b,05G8V3-E,
57d38cae91aea376a7b87ef7,0BJG8B-E,
57d38cd491aea376a7b91be7,0DF53Q-E, --- [0] value  --- [0] value 
57d38c6491aea376a7b70c91,05L2BJ-E,
,,
,05L3BW-E,
57d38c7a91aea376a7b77548,06HDXM-E,
5bec47367d6aa8cc0805f97c,07554B-E,
,,
,0JY9KR-E,
,,
583eb2fb26fee671a087a4c7,0GNZDD-E,
57d38c7591aea376a7b76c0a,06FY8D-E,
57d38cfc91aea376a7b9ebff,0GG0Q6-E,
57d38c9491aea376a7b7ef61,07B02L-E,
57d38c6a91aea376a7b72225,05QSNK-E,
,076Y8K-E,
,0G1SWG-E,
57d38c6491aea376a7b7154f,05M54R-E,
57d38c6c91aea376a7b72eae,05W3ZG-E,
,064H1F-E,
57d38c6a91aea376a7b72234,05QSY5-E,
,,
57d38c6a91aea376a7b72217,05QSCG-E,
57d38c5a91aea376a7b6e9be,05G7S0-E,
57d38c8291aea376a7b79547,06PHST-E, --- [0] value  --- [0] value 
57d38c5a91aea376a7b6e9bc,05G7RX-E,
57d38c6491aea376a7b70c8d,05L2B0-E,
57d38c6a91aea376a7b7221f,05QSLT-E,
57d38c5a91aea376a7b6e9b0,05G7QC-E,
5af45ea0ead557bbfd7e9b82,0JJF07-E,
,05W408-E,
57d38cd791aea376a7b9343d,0DNX6R-E,
,05L4B0-E,
57d38cfc91aea376a7b9e6b7,0GFW4P-E,
,,
5aaaeeb29fca31fae2ce1ce1,0HWHXM-E,
57d38c6391aea376a7b70925,05KNF4-E,
57d38cfe91aea376a7b9fb88,079K44-E,
5b6c57b2a9277392a613a206,0JVW4T-E,
57d38c5a91aea376a7b6ea48,05G8V6-E,
,,
57d38c6a91aea376a7b72224,05QSNC-E, --- [0] value  --- [0] value 
57d38c7491aea376a7b75b0d,0691ZK-E,
,05QSLX-E,
57d38c5a91aea376a7b6ea49,05G8V8-E,
,,
,07FRW6-E,
,0786WS-E,
57d38c9391aea376a7b7e906,0786YF-E,
,0KCV0L-E,
,0828PD-E,
