factset_entity_id,name,ManagerStyle,InstitutionFixedStyle,Discrepancy Column,,,,
00GG76-E,"7 Venture Group, Inc.",,,,,,,
075VRN-E,7-Health Ventures Ltd.,,,,,,,
00CFDZ-E,7-Ventures LLC,,,,,,,
0GXHZ7-E,701 Ventures LLC,,,,,,,
06WHB8-E,747 Capital LLC,,,,,,,
06WX42-E,755 Capital Partners LLC,,,,,,,
0GL4DN-E,77 Capital KK,,,,,,,
0C0RL9-E,777 Investment Pte Ltd.,,,,,,,
0H559G-E,777 Partners LLC,,,,,,,
0GC5MC-E,79 Studios LLC,,,,,,,
06WHD0-E,7L Capital Partners,,,,,,,
0GKNVN-E,7percent Ventures,,,,,,,
0FS5HK-E,7Q Financial Services Ltd.,,Deep Value,,,,,
0BX1CZ-E,7Twelve Advisors LLC,,GARP,,,,,
0KMJ1C-E,7wire Ventures,,,,,,,
0CF44P-E,7wire Ventures LLC,,,,,,,
06NQQG-E,7x7 Asset Management LLC,,,,,,,
0B10QF-E,8 Miles LLP,,,,,,,
07BTS3-E,8 Wings Ventures LLC,,,,,,,
0FMGQV-E,81 Societa Di Consulenza Finanziaria Family Office SpA,,Deep Value,,,,,
0CNTB8-E,819 Capital LLC,,,,,,,
0HJKQP-E,82an Invest AB,,,,,,,
0BTS2Z-E,83North Management Ltd.,,,,,,,
0JQNR4-E,83north UK LLP,,,,,,,
0D3HVQ-E,86Research Ltd.,,,,,,,
0FR22P-E,88mph,,,,,,,
06VBRG-E,8a+ Investimenti SGR SpA,,Yield,,,,,
06VNHM-E,8a+ Nuovi Investimenti SGR SpA,,,,,,,
076FLT-E,8AM Global LLP,,GARP,,,,,
0HMDFP-E,8C Capital LLP,,,,,,,
0DPFZY-E,8capita Pte Ltd.,,,,,,,
07C2QN-E,8Capital Partners,,,,,,,
0JCQT0-E,8i Ventures,,,,,,,
0C9HYM-E,8th Street Investments LLC,,,,,,,
0GTB77-E,9 Invest Srl,,,,,,,
0HJR3X-E,9.5 Magnitude Ventures,,,,,,,
0J3QN7-E,9258 Wealth Management LLC,,Aggressive Growth,,,,,
0KSV5X-E,9A Ventures Ltd.,,,,,,,
0HC0TX-E,9C Capital Co. Ltd.,,,,,,,
0DFNC3-E,9Mile Labs LLC,,,,,,,
0DHR7C-E,9th Street Capital LLC,,,,,,,
0CJJ24-E,9th Street Investments LLC,,,,,,,
0GRVM0-E,9winvest Partners,,,,,,,
0KLGNR-E,9yards Capital II LLC,,,,,,,
0CJS8F-E,A Capital Asia Ltd.,,,,,,,
0DLD9J-E,A Capital Management LLC,,,,,,,
0JR6W6-E,A Group of Friends Investments,,,,,,,
05TPKV-E,A Michael Bernstein (Investment Management),,,,,,,
06N5ZT-E,A Plus Finance SA,,,,,,,
0FFC4H-E,"a START Co., Ltd.",,,,,,,
07DTQZ-E,A to B Capital Management LLC,,,,,,,
0642XN-E,A Yatirim,,,,,,,
0BS9VR-E,A&A Actienbank AG (Broker),,,,,,,
05HW0K-E,A&G Fondos SGIIC SA,,GARP,,,,,
0C32DQ-E,A&I Financial Services LLC,,,Yield,,,,
0CR5TQ-E,A&M Capital Advisors LP,,,,,,,
0H2YY1-E,A&M Capital Partners /GB/,,,,,,,
0KJY77-E,A&M Managing Directors LLC,,,,,,,
06D4Z9-E,A&V Anlage & Vermoegens Dienste AG,,,,,,,
0KRT4S-E,A-6684 Capital,,,,,,,
07GSYJ-E,A-Brokers AB,,,,,,,
0C5M8C-E,A-Grade Investments,,,,,,,
0GCX0C-E,A-Level Capital,,,,,,,
068D25-E,"A-Max Co., Ltd.",,,,,,,
0HXD0J-E,A-Rod Corp.,,,,,,,
05LKB7-E,"A. B. Edelman Management, Inc.",,,,,,,
05PRVV-E,"A. D. Beadell Investment Counsel, Inc.",,Yield,,,,,
05N1B9-E,"A. E. Beer & Co., Inc.",,,,,,,
05TMCG-E,A. Miller Investment Advisors LP,,,,,,,
002HVZ-E,"A. Montag & Associates, Inc.",,GARP,,,,,
0BTS7V-E,A. Sarasin & Cie,,,,,,,
05LBN4-E,A. Sundvall,,,,,,,
06KQHH-E,A.A. Anthony Securities Sdn. Bhd.,,,,,,,
0JX75Y-E,A.B.Seed Investimentos Ltda.,,,,,,,
05KXCR-E,A.F Fishman Financial Holdings (2010) Ltd,,,,,,,
06KQJ3-E,A.G. Edwards & Sons (UK) Ltd.,,,,,,,
002HK5-E,"A.G. Edwards & Sons, Inc.",,,,,,,
05LSSY-E,A.G. Edwards Asset Management,,,,,,,
0637GG-E,"A.G. Edwards Capital, Inc.",,,,,,,
06Z4R1-E,"A.G.S. Consulting Co., Ltd.",,,,,,,
0C3PXW-E,A.H. Williams & Co. LP,,,,,,,
0HL94K-E,A.IX Capital GmbH,,,GARP,,,,
003R37-E,"A.J. Pace & Co., Inc.",,,,,,,
06FX4Q-E,A.J. Sterge LP,,,,,,,
0814HX-E,A.M. Accelmed Management (2009) Ltd.,,,,,,,
05NSRR-E,"A.N. Culbertson & Co., Inc.",,GARP,,,,,
0J1GJQ-E,A.P. Moller Capital P/S,,,,,,,
0DZ3WT-E,A.P. Moller Holding A/S,,,,,,,
0CFJH5-E,A.R. Dresher & Co.,,,,,,,
006VP8-E,A.R.T. Advisors LLC,,GARP,,,,,
0B0RYB-E,A/VENTUM family office Consulting AG,,GARP,,,,,
0DQZPP-E,A1 Capital Menkul Degerler AS,,,,,,,
0G1YLC-E,A11 Venture SRL,,,,,,,
07BZK0-E,A2 Gestion SAS,,GARP,,,,,
