factset_entity_id,name,ManagerStyle,InstitutionFixedStyle,Discrepancy Column,Discrepancy Source
09KBM7-E,"Founder Securities Co., Ltd. (Broker)",,,N/A,N/A
09KDV2-E,Tiger Group Investments,,,N/A,N/A
09KL07-E,Hong Kong Cyberport Management Co. Ltd.,,,N/A,N/A
09KQJF-E,Almi Invest Mitt AB,,,N/A,N/A
09L28J-E,Rady Asset Management LLC,,GARP,N/A,N/A
09LH1B-E,Aquarius Investment Advisors Pte Ltd.,,,N/A,N/A
0BTRKS-E,"AVIC Securities Co., Ltd. (Investment Management)",,GARP,N/A,N/A
0BV0ZS-E,Verod Capital Management Ltd.,,,N/A,N/A
0D7QLB-E,PT RHB Securities Indonesia,,,N/A,N/A
0D7VDK-E,Asia Research & Capital Management Ltd.,,,N/A,N/A
0D7WSW-E,Morehead Capital Management LLC,,,N/A,N/A
0D7Z1P-E,The Valley Fund,,,N/A,N/A
0D84KP-E,L. A. Davis & Associates,,,N/A,N/A
0D86MG-E,Royal Group Companies Management LLC,,,N/A,N/A
0GDTMY-E,Random Walk Financial Corp.,,,N/A,N/A
0GDYDV-E,"Keio Innovation Initiative, Inc.",,,N/A,N/A
0GDZ92-E,TLM,,,N/A,N/A
0GF0HZ-E,"SIA Wealth Management, Inc.",,,N/A,N/A
0GFQX9-E,NextGen Ventures BV (Management),,,N/A,N/A
0HHDZC-E,Ikon Banca de Inversion SAS,,,N/A,N/A
0HHH18-E,Belmore Capital Corp.,,,N/A,N/A
0HHQMN-E,Bryanston Group (UK),,,N/A,N/A
0HHV5Y-E,Columbus Macro LLC,,,N/A,N/A
0HHX4M-E,M33 Growth LLC,,,N/A,N/A
0HHZB3-E,Wharton Alumni Angels,,,N/A,N/A
0KBBS7-E,BTC Investment Co. Ltd.,,,N/A,N/A
0KC53B-E,First State Investments US LLC (Private Equity),,,N/A,N/A
007ZW1-E,TTM Management LLC,,,N/A,N/A
00809H-E,KS Management Corp.,,GARP,N/A,N/A
00840V-E,"Meridian Equity Partners, Inc.",,,N/A,N/A
008B76-E,Scarsdale Equities LLC,,Growth,N/A,N/A
008DJH-E,BAK Economics AG,,,N/A,N/A
008H19-E,Greenhouse Capital Partners,,,N/A,N/A
008JN6-E,"UBS Trust Co., NA",,,N/A,N/A
008K0W-E,United Capital Financial Advisers LLC,,GARP,N/A,N/A
05W36H-E,Patterson Capital Management LP,,,N/A,N/A
05W3G9-E,"Lynmar Capital Group, Inc.",,,N/A,N/A
05W60T-E,Centrosim SpA,,,N/A,N/A
05W9ML-E,Tailwind Management LP,,,N/A,N/A
05WBRR-E,GAFM AG Global Asset- & Fundsmanagement,,,N/A,N/A
05WDB7-E,"Citadel Investment Advisory, Inc.",,,N/A,N/A
05WHRJ-E,JRS Fondsberatung AG,,,N/A,N/A
05WL6W-E,ING Administradora de Fondos de Inversion SA,,,N/A,N/A
05WLMV-E,Kennet Partners Ltd.,,,N/A,N/A
05WP8S-E,"Catapult Capital Management, Inc.",,,N/A,N/A
07FD4M-E,Schroder Investment Management (Taiwan) Ltd.,,Value,N/A,N/A
07FF94-E,Cambridge Place Investment Management LLP (Private Equity),,,N/A,N/A
07FK8Z-E,Goldman Sachs Asset Management (India) Pvt Ltd.,,Growth,N/A,N/A
07FNJR-E,Bellman Walter Capital (UK) LLP,,,N/A,N/A
07FQ65-E,Lone Star Investment Advisors LLC,,,N/A,N/A
07FRK3-E,Samena Capital Management LLP,,GARP,N/A,N/A
07FVV0-E,Elara Securities (India) Pvt Ltd.,,,N/A,N/A
07G1VV-E,Rhenman & Partners Asset Management AB,,Growth,N/A,N/A
07G3B7-E,"Beacon Capital Partners, Inc.",,,N/A,N/A
07GFBT-E,Singer Capital Markets Ltd.,,,N/A,N/A
07GFCZ-E,Horizonte Venture Management d.o.o.,,,N/A,N/A
07GLSF-E,Cadiz Securities (Pty) Ltd.,,,N/A,N/A
07GRT3-E,"Muang Thai Insurance Public Co., Ltd. (Investment Portfolio)",,GARP,N/A,N/A
07GSBJ-E,Joshua Partners LLC,,,N/A,N/A
07GZGK-E,Dom Maklerski Banku Ochrony Srodowiska SA,,,N/A,N/A
07H09N-E,Pythagore Consult SA,,,N/A,N/A
08H8WL-E,Biokapital AS,,,N/A,N/A
08HN2K-E,Danske Bank AS (Securities),,,N/A,N/A
0BZF1C-E,China Everbright Securities (HK) Ltd.,,,N/A,N/A
0BZXT4-E,Tokai Tokyo Investment Management Singapore Pte Ltd.,,,N/A,N/A
0DH9PR-E,Eurobank Equities Investment Firm SA,,,N/A,N/A
0DHC2J-E,Entrepreneur First Operations Ltd.,,,N/A,N/A
0FK13C-E,Mariner Wealth Advisors NYC LLC,,GARP,N/A,N/A
0FK1TT-E,Garrett Wealth Advisory Group LLC,,,N/A,N/A
0FK7QK-E,Albedo Capital SAS,,,N/A,N/A
0FKGZJ-E,Ironfire Ventures,,,N/A,N/A
0FKKPX-E,Medical Liability Mutual Insurance Co. (Investment Portfolio),,,N/A,N/A
0FKSJG-E,HuaAn Asset Management (Hong Kong) Ltd.,,GARP,N/A,N/A
0FKT7B-E,Next Frontier Capital,,,N/A,N/A
0G9LY3-E,Matrix Fund Managers Pty Ltd.,,,N/A,N/A
0G9S57-E,Solventis SGIIC SA,,,N/A,N/A
0G9TYG-E,Phenom Capital LLC,,,N/A,N/A
0G9VKQ-E,Beijing Cuizhi Investment Management Co. Ltd.,,,N/A,N/A
0G9Z0V-E,Shanghai Weite Investment Management Co. Ltd.,,,N/A,N/A
0HBQQP-E,Young Turk Ventures,,,N/A,N/A
0J9QQ3-E,CEE Equity Partners (HR),,,N/A,N/A
0K8GBH-E,Amicus Capital Partners LLC,,,N/A,N/A
00GGFM-E,Acorns Securities LLC,,GARP,N/A,N/A
00GMHR-E,Amplify Investments LLC,,,N/A,N/A
06N21T-E,Investment & Capital Corp. of the Philippines,,,N/A,N/A
06N39Y-E,Monroe Capital LLC,,,N/A,N/A
06N42N-E,RFC Ambrian Ltd.,,,N/A,N/A
06N5JD-E,"Macquarie Infrastructure Partners, Inc.",,,N/A,N/A
06N6BM-E,Phoenix Capital Securities Ltd.,,,N/A,N/A
06NDNG-E,"Richard Lehmann & Associates, Inc.",,,N/A,N/A
06NFNW-E,Benchmark Plus Management LLC,,Aggressive Growth,N/A,N/A
06NJ34-E,Palladian Capital Partners LLC,,,N/A,N/A
06NJPF-E,DBL Investors LLC,,,N/A,N/A
06NMDY-E,EFG Securities Belgrade AD,,,N/A,N/A
06NP0S-E,Dea Capital Alternative Funds SGR SpA,,,N/A,N/A
06NRRV-E,Bank fur Kirche und Caritas eG,,Yield,N/A,N/A
06NWTD-E,Fleet Development Ventures LLC,,,N/A,N/A
06NX2J-E,Catella Investments AB,,,N/A,N/A
06P13D-E,Pall Mall Partners Ltd.,,,N/A,N/A
06P1J7-E,Silverado Partners LLC,,,N/A,N/A
09NQ2X-E,Motswedi Securities (Pty) Ltd.,,,N/A,N/A
09NZ2G-E,IREO Management Pvt. Ltd.,,,N/A,N/A
09PS9G-E,ZZ Vermogensverwaltung Gesellschaft m.b.H.,,,N/A,N/A
09PY7D-E,Thematic Capital Partners LLP,,,N/A,N/A
09Q11K-E,ACA II Advisors LLC,,,N/A,N/A
09Q2V7-E,Harness Investment Management Group LLC,,,N/A,N/A
09Q8PQ-E,Expedition Capital Partners LLC,,,N/A,N/A
09QBZN-E,Perry Capital (Asia) Ltd.,,,N/A,N/A
0C7ZQZ-E,"E Fund Management (Hong Kong) Co., Ltd.",,GARP,N/A,N/A
06N69N-E,"Philippine Commercial Capital, Inc.",,,N/A,N/A
06N8G5-E,Tufton Oceanic (Isle of Man) Ltd.,,Value,N/A,N/A
06NDF4-E,TrendTrust SA,,,N/A,N/A
06NDQV-E,Brighton Partners LLC,,,N/A,N/A
06NGY6-E,NS Investment Partners LLC,,,N/A,N/A
06NL97-E,Union Capital Associates LP,,,N/A,N/A
06NNHL-E,Glastad Capital AS,,,N/A,N/A
06NNML-E,Red Granite Advisors LLC,,,N/A,N/A
06NWPR-E,Crown Hill Capital Corp.,,,N/A,N/A
06NX4C-E,Admiral Capital KK,,,N/A,N/A
06NYKR-E,Aletti Gestielle Alternative SGR SpA,,,N/A,N/A
06P6TQ-E,"Bolen Asset Management, Inc.",,,N/A,N/A
06P7JV-E,Axiom Equity Partners LLC,,,N/A,N/A
07YY1R-E,AH Capital Management LLC,,,N/A,N/A
07Z16S-E,"Whitman Heffernan Rhein & Co., Inc.",,,N/A,N/A
09NLV6-E,"BPS Capital Management, Inc.",,,N/A,N/A
09NRTQ-E,Advent International SRL,,,N/A,N/A
09P2M3-E,Crestline Management LP,,GARP,N/A,N/A
09P824-E,Taros Capital Management I BV,,,N/A,N/A
09PJ47-E,Corridor Capital LLC,,,N/A,N/A
09PRJR-E,"Miralta Capital, Inc.",,,N/A,N/A
09Q1KM-E,"New Carbon Economy Venture Management, Inc.",,,N/A,N/A
09Q1NL-E,Raiffeisenbank Reutte reg.Genossenschaft mbH (Pvt Bank),,GARP,N/A,N/A
09QBDD-E,Reuss Private Deutschland AG,,GARP,N/A,N/A
0C804Z-E,"Mizuho Securities Research & Consulting Co., Ltd.",,,N/A,N/A
0C84QZ-E,Eagle Asia Partners Pte Ltd.,,,N/A,N/A
0C87BJ-E,Societe Generale Global Solution Centre Pvt Ltd.,,,N/A,N/A
0C8FQ7-E,Glilot Capital Investments GP Ltd.,,,N/A,N/A
0C8KY7-E,Private Wealth Group LLC,,Aggressive Growth,N/A,N/A
0C8MGM-E,1926 Investment Advisors LLC,,,N/A,N/A
0C8PBM-E,Wealthquest Corp.,,Yield,N/A,N/A
0C8VD1-E,RK Asset Management LLC,,GARP,N/A,N/A
0C8VY2-E,Lincoln Capital Corp. (Rhode Island),,,N/A,N/A
0C8VZ4-E,Rowland & Co.,,Yield,N/A,N/A
0C8XL9-E,"Castle Financial & Retirement Planning Associates, Inc.",,GARP,N/A,N/A
0C9343-E,Prudential International Investments Advisers LLC,,,N/A,N/A
0C94YD-E,Gladius Capital Management LP,,GARP,N/A,N/A
0C96MT-E,"Champion Capital Research, Inc.",,,N/A,N/A
0C972G-E,"Monegy, Inc.",,,N/A,N/A
0C97M4-E,SignalPoint Asset Management LLC,,GARP,N/A,N/A
0C97TG-E,Pacific Financial Group LLC,,GARP,N/A,N/A
