factset_fund_id,style,turnover_label,Discrepancy Column,Discrepancy Source
04B9WK-E,Growth,Medium,,
04B9WL-E,,Low,,
04B9WM-E,Growth,Medium,,
04B9WN-E,Growth,Very Low,,
04B9WP-E,Growth,Very Low,,
04B9WQ-E,GARP,Very Low,,
04B9WR-E,GARP,Very Low,,
04B9WS-E,Growth,Medium,,
04B9WV-E,Growth,Low,,
04B9WW-E,Index,Very Low,,
04B9WX-E,Deep Value,Very Low,,
04B9WY-E,,Medium,,
04B9WZ-E,Growth,Very Low,,
04B9X2-E,,Medium,,
04B9X3-E,,Low,,
04B9X8-E,GARP,Very Low,,
04B9XB-E,Value,Low,,
04B9XF-E,,Medium,,
04B9XG-E,Index,Very Low,,
04B9XH-E,Value,Very Low,,
04B9XK-E,GARP,Very Low,,
04B9XM-E,,High,,
04B9XN-E,Growth,Very Low,,
04B9XR-E,Growth,Low,,
04B9XT-E,Value,Very Low,,
04B9XV-E,,Medium,,
04B9XW-E,Growth,Very Low,,
04B9XX-E,,Low,,
04B9XY-E,Growth,Very Low,,
04B9Y0-E,,Medium,,
04B9Y1-E,Yield,Very Low,,
04B9Y2-E,GARP,Low,,
04B9Y3-E,Growth,Very Low,,
04B9Y4-E,,Medium,,
04B9Y6-E,Value,Medium,,
04B9Y7-E,Value,Very Low,,
04B9YD-E,Value,Medium,,
04B9YF-E,Index,Very Low,,
04B9YG-E,Yield,High,,
04B9YH-E,Yield,Very Low,,
04B9YK-E,Value,Very Low,,
04B9Z1-E,,High,,
04B9Z3-E,,Medium,,
04B9ZJ-E,Growth,Very Low,,
04B9ZN-E,,Medium,,
04B9ZR-E,,Medium,,
04B9ZS-E,Index,Very Low,,
04B9ZV-E,Growth,High,,
04B9ZW-E,,,,
04B9ZX-E,,Low,,
04B9ZZ-E,,High,,
04BB01-E,,Very Low,,
04BB03-E,Growth,Low,,
04BB04-E,,Low,,
04BB07-E,Value,Low,,
04BB08-E,Value,Very Low,,
04BB09-E,GARP,Very Low,,
04BB0B-E,,Very High,,
04BB0C-E,Value,Low,,
04BB0D-E,Aggressive Growth,Medium,,
04BB0F-E,GARP,Very Low,,
04BB0H-E,Growth,Low,,
04BB0J-E,,High,,
04BB0K-E,,,,
04BB0L-E,,Low,,
04BB0M-E,,Very High,,
04BB0N-E,,Medium,,
04BB0Q-E,,Medium,,
04BB0S-E,Growth,Very Low,,
04BB0T-E,,Very Low,,
04BB0V-E,,Medium,,
04BB0X-E,Growth,Very Low,,
04BB0Y-E,Growth,Very Low,,
04BB0Z-E,Growth,High,,
04BB11-E,Growth,Very Low,,
04BB14-E,,Medium,,
04BB16-E,,Very Low,,
04BB17-E,Growth,High,,
04BB19-E,Growth,Medium,,
04BB1B-E,Value,High,,
04BB1D-E,Growth,Very Low,,
04BB1H-E,,High,,
04BB1J-E,,Medium,,
04BB1K-E,,Low,,
04BB1L-E,Growth,Low,,
04BB1M-E,Growth,Very Low,,
04BB1P-E,,Very Low,,
04BB1R-E,Growth,Very Low,,
04BB1T-E,Value,Low,,
04BB1V-E,,High,,
04BB1W-E,,Low,,
04BB1X-E,,Very Low,,
04BB1Y-E,,Medium,,
04BB1Z-E,Growth,Very Low,,
04BB20-E,GARP,Very Low,,
04BB23-E,,Medium,,
04BB24-E,,Low,,
04BB26-E,,Low,,
04BB27-E,GARP,Low,,
04BB29-E,,High,,
04BB2H-E,Growth,Very Low,,
04BB2N-E,Index,High,,
04BB2P-E,Growth,Very Low,,
04BB2Q-E,,Medium,,
04BB2R-E,,Medium,,
04BB2S-E,,Medium,,
04BB2T-E,,Low,,
04BB2V-E,Growth,Very Low,,
04BB2Y-E,,Low,,
04BB30-E,,Low,,
04BB32-E,,Medium,,
04BB33-E,,Low,,
04BB34-E,Index,High,,
04BB3B-E,,High,,
04BB3F-E,Value,Low,,
04BB3G-E,,Medium,,
04BB3K-E,Growth,Very Low,,
04BB3M-E,,Medium,,
04BB3N-E,,High,,
04BB3P-E,,Medium,,
04BB3Q-E,,Very High,,
04BB3S-E,,Low,,
04BB3T-E,,Medium,,
04BB3V-E,,Medium,,
04BB42-E,Value,Very Low,,
04BB43-E,,Low,,
04BB44-E,,High,,
